nr, zaleznosci;procent
1 & 4 & 33;33,33
1 & 6 & 62;37,04
1 & 7 & 67;33,33
1 & 14 & 66;44,07
2 & 8 & 17;40,74
2 & 9 & 56;34,38
2 & 15 & 36;34
2 & 23 & 17;33,02
3 & 4 & 65;34,15
3 & 6 & 20;35,71
3 & 8 & 35;41,07
3 & 8 & 54;33,93
3 & 9 & 35;37,04
3 & 12 & 43;33,93
3 & 14 & 20;33,87
3 & 14 & 56;35,48
3 & 16 & 20;34,48
3 & 27 & 35;37,1
4 & 1 & 33;33,33
4 & 3 & 65;34,15
4 & 7 & 41;33,33
4 & 7 & 57;33,33
4 & 8 & 17;33,68
4 & 13 & 41;39,47
4 & 14 & 64;38,89
4 & 47 & 17;35,84
5 & 8 & 35;34,48
5 & 10 & 53;33,33
5 & 12 & 53;35,42
5 & 12 & 63;34,38
5 & 13 & 67;33,64
6 & 1 & 62;37,04
6 & 3 & 20;35,71
6 & 7 & 53;33,87
6 & 7 & 62;33,87
6 & 10 & 59;35,19
6 & 10 & 65;33,33
6 & 13 & 59;36,84
7 & 1 & 67;33,33
7 & 4 & 41;33,33
7 & 4 & 57;33,33
7 & 6 & 53;33,87
7 & 6 & 62;33,87
7 & 8 & 44;36,67
7 & 9 & 23;34,69
7 & 10 & 19;33,33
7 & 10 & 29;41,67
7 & 10 & 43;36,11
7 & 10 & 51;33,33
7 & 12 & 53;33,87
7 & 13 & 67;39,56
7 & 14 & 41;34,33
7 & 15 & 71;33,67
7 & 16 & 25;33,33
8 & 2 & 17;40,74
8 & 3 & 35;41,07
8 & 3 & 54;33,93
8 & 4 & 17;33,68
8 & 5 & 35;34,48
8 & 7 & 44;36,67
8 & 9 & 18;35,38
8 & 9 & 60;33,85
8 & 9 & 63;33,85
8 & 10 & 20;34,78
8 & 10 & 48;39,13
8 & 11 & 34;36,36
8 & 11 & 40;36,36
8 & 12 & 17;33,33
8 & 12 & 35;37,18
8 & 19 & 17;34,54
8 & 47 & 17;34,17
9 & 2 & 56;34,38
9 & 3 & 35;37,04
9 & 7 & 23;34,69
9 & 8 & 18;35,38
9 & 8 & 60;33,85
9 & 8 & 63;33,85
9 & 10 & 18;38,89
9 & 10 & 21;33,33
9 & 10 & 34;38,89
9 & 10 & 48;33,33
9 & 11 & 38;34,48
9 & 11 & 70;34,48
9 & 12 & 18;33,33
9 & 12 & 57;34,52
9 & 14 & 64;39,58
9 & 15 & 31;34,43
9 & 45 & 25;33,17
10 & 5 & 53;33,33
10 & 6 & 59;35,19
10 & 6 & 65;33,33
10 & 7 & 19;33,33
10 & 7 & 29;41,67
10 & 7 & 43;36,11
10 & 7 & 51;33,33
10 & 8 & 20;34,78
10 & 8 & 48;39,13
10 & 9 & 18;38,89
10 & 9 & 21;33,33
10 & 9 & 34;38,89
10 & 9 & 48;33,33
10 & 11 & 53;42,03
10 & 11 & 70;34,78
10 & 12 & 53;37,11
10 & 13 & 53;36,08
10 & 14 & 53;45,95
10 & 16 & 53;34,83
10 & 27 & 53;36,83
10 & 30 & 53;34,66
10 & 54 & 53;37,23
10 & 60 & 53;34,31
11 & 8 & 34;36,36
11 & 8 & 40;36,36
11 & 9 & 38;34,48
11 & 9 & 70;34,48
11 & 10 & 53;42,03
11 & 10 & 70;34,78
11 & 13 & 65;35,09
11 & 14 & 32;33,33
11 & 15 & 53;33,62
12 & 3 & 43;33,93
12 & 5 & 53;35,42
12 & 5 & 63;34,38
12 & 7 & 53;33,87
12 & 8 & 17;33,33
12 & 8 & 35;37,18
12 & 9 & 18;33,33
12 & 9 & 57;34,52
12 & 10 & 53;37,11
12 & 14 & 32;33,04
12 & 16 & 53;34,03
13 & 4 & 41;39,47
13 & 5 & 67;33,64
13 & 6 & 59;36,84
13 & 7 & 67;39,56
13 & 10 & 53;36,08
13 & 11 & 65;35,09
13 & 14 & 53;33,33
13 & 15 & 21;34,21
14 & 1 & 66;44,07
14 & 3 & 20;33,87
14 & 3 & 56;35,48
14 & 4 & 64;38,89
14 & 7 & 41;34,33
14 & 9 & 64;39,58
14 & 10 & 53;45,95
14 & 11 & 32;33,33
14 & 12 & 32;33,04
14 & 13 & 53;33,33
14 & 27 & 53;33,73
15 & 2 & 36;34
15 & 7 & 71;33,67
15 & 9 & 31;34,43
15 & 11 & 53;33,62
15 & 13 & 21;34,21
15 & 16 & 60;37,18
15 & 29 & 53;33,33
16 & 3 & 20;34,48
16 & 7 & 25;33,33
16 & 10 & 53;34,83
16 & 12 & 53;34,03
16 & 15 & 60;37,18
16 & 27 & 53;33,83
16 & 54 & 53;33,33
19 & 8 & 17;34,54
23 & 2 & 17;33,02
27 & 3 & 35;37,1
27 & 10 & 53;36,83
27 & 14 & 53;33,73
27 & 16 & 53;33,83
27 & 28 & 53;33,18
27 & 29 & 53;33,11
27 & 30 & 53;33,56
27 & 31 & 53;33,27
27 & 32 & 53;33,44
27 & 57 & 53;33,86
27 & 59 & 53;34,13
27 & 60 & 53;33,48
28 & 27 & 53;33,18
29 & 15 & 53;33,33
29 & 27 & 53;33,11
30 & 10 & 53;34,66
30 & 27 & 53;33,56
31 & 27 & 53;33,27
32 & 27 & 53;33,44
45 & 9 & 25;33,17
47 & 4 & 17;35,84
47 & 8 & 17;34,17
47 & 51 & 17;33,12
51 & 47 & 17;33,12
54 & 10 & 53;37,23
54 & 16 & 53;33,33
57 & 27 & 53;33,86
59 & 27 & 53;34,13
60 & 10 & 53;34,31
60 & 27 & 53;33,48
