nr zaleznosci;procent
2 & 53;25,52
3 & 20;27,43
4 & 17;25,95
5 & 17;26,4
6 & 17;25,22
7 & 17;25,19
8 & 17;25,29
10 & 53;26,73
11 & 53;26,28
12 & 53;25,35
13 & 53;26,4
14 & 53;25,46
15 & 53;25,01
16 & 53;25,55
17 & 53;25,41
21 & 17;25,27
27 & 53;28,17
28 & 53;25,02
29 & 53;25,15
30 & 53;25,68
31 & 53;25,61
32 & 53;25,49
45 & 53;26,54
47 & 17;26,6
48 & 17;25,2
54 & 53;26,39
55 & 53;25,13
56 & 53;26,1
57 & 53;25,77
58 & 53;25,58
59 & 53;25,58
60 & 53;26,35
