nr, zaleznosci;procent
1 & 3 & 61;33,96
1 & 14 & 67;34,43
1 & 15 & 56;36,36
2 & 3 & 65;33,78
2 & 4 & 28;34,12
2 & 4 & 33;35,29
2 & 9 & 18;37,97
2 & 13 & 53;38,71
2 & 15 & 53;34,82
2 & 29 & 53;33
3 & 1 & 61;33,96
3 & 2 & 65;33,78
3 & 5 & 20;35,21
3 & 8 & 21;33,33
3 & 8 & 40;38,89
3 & 10 & 20;42,03
3 & 12 & 36;36,84
3 & 13 & 32;33,33
3 & 13 & 40;38,89
3 & 13 & 41;33,33
3 & 14 & 20;33,96
3 & 14 & 52;33,96
3 & 14 & 56;33,96
3 & 21 & 20;36,74
3 & 28 & 20;34,11
3 & 45 & 20;34,38
3 & 50 & 20;34,91
3 & 56 & 20;35,69
4 & 2 & 28;34,12
4 & 2 & 33;35,29
4 & 6 & 17;37,18
4 & 7 & 41;38,81
4 & 8 & 17;38,6
4 & 9 & 18;34,38
4 & 9 & 56;34,38
4 & 11 & 33;34,85
4 & 11 & 38;39,39
4 & 11 & 45;33,33
4 & 13 & 65;37,5
4 & 47 & 17;35,84
5 & 3 & 20;35,21
5 & 6 & 20;35
5 & 7 & 63;34,92
5 & 8 & 20;37,25
5 & 9 & 34;34,15
5 & 11 & 24;36,21
5 & 47 & 17;33,82
6 & 4 & 17;37,18
6 & 5 & 20;35
6 & 8 & 35;36,67
6 & 8 & 72;35
6 & 11 & 20;35,14
6 & 22 & 17;33,96
7 & 4 & 41;38,81
7 & 5 & 63;34,92
7 & 8 & 44;34,43
7 & 9 & 61;40
7 & 10 & 29;40
7 & 11 & 72;36,36
7 & 12 & 17;34,04
7 & 13 & 41;35,29
7 & 14 & 57;35,38
7 & 15 & 17;33,33
7 & 15 & 67;34,62
7 & 16 & 29;36,84
7 & 16 & 53;36,84
7 & 16 & 60;33,33
7 & 16 & 67;35,09
7 & 55 & 17;33,08
8 & 3 & 21;33,33
8 & 3 & 40;38,89
8 & 4 & 17;38,6
8 & 5 & 20;37,25
8 & 6 & 35;36,67
8 & 6 & 72;35
8 & 7 & 44;34,43
8 & 9 & 71;35
8 & 10 & 20;36,99
8 & 11 & 68;33,33
8 & 13 & 52;34,52
9 & 2 & 18;37,97
9 & 4 & 18;34,38
9 & 4 & 56;34,38
9 & 5 & 34;34,15
9 & 7 & 61;40
9 & 8 & 71;35
9 & 10 & 35;34
9 & 11 & 18;33,33
9 & 11 & 19;36,67
9 & 11 & 34;40
9 & 11 & 67;33,33
9 & 12 & 43;36,92
9 & 13 & 60;38,24
9 & 14 & 57;36,73
9 & 14 & 71;34,69
9 & 15 & 25;34,38
9 & 15 & 43;35,94
9 & 54 & 18;37,68
10 & 3 & 20;42,03
10 & 7 & 29;40
10 & 8 & 20;36,99
10 & 9 & 35;34
10 & 11 & 53;40,79
10 & 13 & 53;35,96
10 & 13 & 65;42,7
10 & 16 & 41;33,33
10 & 54 & 53;33,85
11 & 4 & 33;34,85
11 & 4 & 38;39,39
11 & 4 & 45;33,33
11 & 5 & 24;36,21
11 & 6 & 20;35,14
11 & 7 & 72;36,36
11 & 8 & 68;33,33
11 & 9 & 18;33,33
11 & 9 & 19;36,67
11 & 9 & 34;40
11 & 9 & 67;33,33
11 & 10 & 53;40,79
11 & 13 & 53;33,96
11 & 15 & 53;33,33
11 & 16 & 37;38,03
11 & 16 & 56;35,21
11 & 19 & 33;33,43
11 & 58 & 53;35,53
12 & 3 & 36;36,84
12 & 7 & 17;34,04
12 & 9 & 43;36,92
13 & 2 & 53;38,71
13 & 3 & 32;33,33
13 & 3 & 40;38,89
13 & 3 & 41;33,33
13 & 4 & 65;37,5
13 & 7 & 41;35,29
13 & 8 & 52;34,52
13 & 9 & 60;38,24
13 & 10 & 53;35,96
13 & 10 & 65;42,7
13 & 11 & 53;33,96
13 & 14 & 53;34,55
13 & 15 & 53;33,85
13 & 27 & 53;33,72
14 & 1 & 67;34,43
14 & 3 & 20;33,96
14 & 3 & 52;33,96
14 & 3 & 56;33,96
14 & 7 & 57;35,38
14 & 9 & 57;36,73
14 & 9 & 71;34,69
14 & 13 & 53;34,55
15 & 1 & 56;36,36
15 & 2 & 53;34,82
15 & 7 & 17;33,33
15 & 7 & 67;34,62
15 & 9 & 25;34,38
15 & 9 & 43;35,94
15 & 11 & 53;33,33
15 & 13 & 53;33,85
15 & 16 & 25;35,9
15 & 16 & 53;38,46
15 & 59 & 53;34,04
16 & 7 & 29;36,84
16 & 7 & 53;36,84
16 & 7 & 60;33,33
16 & 7 & 67;35,09
16 & 10 & 41;33,33
16 & 11 & 37;38,03
16 & 11 & 56;35,21
16 & 15 & 25;35,9
16 & 15 & 53;38,46
16 & 27 & 53;33,42
19 & 11 & 33;33,43
21 & 3 & 20;36,74
22 & 6 & 17;33,96
27 & 13 & 53;33,72
27 & 16 & 53;33,42
27 & 28 & 53;33,12
27 & 30 & 53;34,04
27 & 32 & 53;33,29
27 & 60 & 53;33,12
28 & 3 & 20;34,11
28 & 27 & 53;33,12
29 & 2 & 53;33
30 & 27 & 53;34,04
32 & 27 & 53;33,29
45 & 3 & 20;34,38
47 & 4 & 17;35,84
47 & 5 & 17;33,82
50 & 3 & 20;34,91
54 & 9 & 18;37,68
54 & 10 & 53;33,85
55 & 7 & 17;33,08
56 & 3 & 20;35,69
58 & 11 & 53;35,53
59 & 15 & 53;34,04
60 & 27 & 53;33,12
