nr zaleznosci;procent
2 & 17;25,01
4 & 17;27,34
5 & 17;26,39
8 & 17;26,15
10 & 53;28,46
11 & 53;27,46
14 & 53;26,74
16 & 53;25,95
17 & 53;25,21
20 & 17;25,3
23 & 17;25,16
25 & 17;25,04
27 & 53;28,05
28 & 53;25,64
29 & 53;25,01
30 & 53;25,27
31 & 53;26,07
32 & 53;25,96
45 & 53;26,01
47 & 17;26,41
48 & 17;25,28
51 & 17;25,51
54 & 53;26,43
56 & 53;26,22
57 & 53;25,76
58 & 53;25,18
59 & 53;26,18
60 & 53;25,57
