nr zaleznosci;procent
1 & 17;25,07
2 & 17;25,74
2 & 53;25,04
4 & 17;26,04
5 & 17;25,16
10 & 53;27,41
11 & 53;26,39
12 & 53;26,32
13 & 53;25,53
14 & 53;25,18
19 & 17;25,17
20 & 17;25,07
24 & 17;25,03
27 & 53;27,63
28 & 53;26,22
29 & 53;25,23
30 & 53;25,38
31 & 53;25,65
32 & 53;25,51
45 & 53;26,5
47 & 17;26,57
54 & 53;26,36
56 & 53;26,41
58 & 53;25,74
59 & 53;25,51
60 & 53;25,84
