nr, zaleznosci;procent
1 & 4 & 17;33,94
1 & 4 & 41;33,94
2 & 3 & 21;35,94
2 & 3 & 65;34,38
2 & 11 & 53;33,02
2 & 13 & 53;40,62
2 & 14 & 64;34,86
2 & 16 & 54;34,09
3 & 2 & 21;35,94
3 & 2 & 65;34,38
3 & 4 & 37;37,14
3 & 5 & 20;36,59
3 & 8 & 20;35,42
3 & 8 & 57;35,42
3 & 8 & 60;33,33
3 & 10 & 20;35,53
3 & 10 & 38;34,21
3 & 13 & 23;34,62
3 & 13 & 53;38,46
3 & 14 & 70;33,93
3 & 15 & 45;34,85
3 & 15 & 56;33,33
3 & 16 & 23;34,88
3 & 16 & 35;37,21
3 & 21 & 20;36,07
3 & 45 & 20;35,58
3 & 51 & 20;34,48
4 & 1 & 17;33,94
4 & 1 & 41;33,94
4 & 3 & 37;37,14
4 & 7 & 34;34,43
4 & 13 & 32;33,33
4 & 47 & 17;34,57
5 & 3 & 20;36,59
5 & 6 & 20;35,94
5 & 12 & 20;34,65
6 & 5 & 20;35,94
6 & 7 & 45;34
6 & 8 & 20;41,05
6 & 47 & 17;33,8
7 & 4 & 34;34,43
7 & 6 & 45;34
7 & 8 & 52;33,33
7 & 8 & 70;34,85
7 & 9 & 34;38,78
7 & 10 & 53;35,29
7 & 11 & 34;43,14
7 & 11 & 42;33,33
7 & 13 & 70;34,78
8 & 3 & 20;35,42
8 & 3 & 57;35,42
8 & 3 & 60;33,33
8 & 6 & 20;41,05
8 & 7 & 52;33,33
8 & 7 & 70;34,85
8 & 11 & 18;34,04
8 & 11 & 20;34,04
8 & 11 & 33;34,04
8 & 11 & 37;34,04
8 & 11 & 43;34,04
8 & 12 & 35;34,88
8 & 15 & 53;33,33
8 & 16 & 67;35
8 & 47 & 21;33,53
8 & 55 & 35;34,99
9 & 7 & 34;38,78
9 & 10 & 25;36
9 & 10 & 34;36
9 & 11 & 31;35,9
9 & 11 & 38;35,9
9 & 12 & 71;34,78
9 & 14 & 41;38
9 & 14 & 56;42
9 & 15 & 21;34,78
10 & 3 & 20;35,53
10 & 3 & 38;34,21
10 & 7 & 53;35,29
10 & 9 & 25;36
10 & 9 & 34;36
10 & 11 & 53;45
10 & 13 & 53;34,44
10 & 14 & 32;35,14
10 & 14 & 53;34,23
10 & 16 & 53;35,29
10 & 27 & 53;36,18
10 & 29 & 53;35,59
10 & 30 & 53;36,12
10 & 31 & 53;35,19
10 & 32 & 53;34,91
10 & 45 & 53;35,15
10 & 54 & 53;37,3
10 & 58 & 53;33,68
10 & 72 & 53;33,4
11 & 2 & 53;33,02
11 & 7 & 34;43,14
11 & 7 & 42;33,33
11 & 8 & 18;34,04
11 & 8 & 20;34,04
11 & 8 & 33;34,04
11 & 8 & 37;34,04
11 & 8 & 43;34,04
11 & 9 & 31;35,9
11 & 9 & 38;35,9
11 & 10 & 53;45
11 & 13 & 39;34,88
11 & 14 & 32;33,98
11 & 15 & 53;34,83
11 & 29 & 53;33,97
11 & 36 & 53;35,96
11 & 50 & 53;33,2
11 & 56 & 53;36,27
11 & 57 & 53;36,98
11 & 60 & 53;36,67
12 & 5 & 20;34,65
12 & 8 & 35;34,88
12 & 9 & 71;34,78
12 & 14 & 36;33,33
12 & 15 & 36;36,75
12 & 15 & 53;35,9
12 & 70 & 36;35,04
13 & 2 & 53;40,62
13 & 3 & 23;34,62
13 & 3 & 53;38,46
13 & 4 & 32;33,33
13 & 7 & 70;34,78
13 & 10 & 53;34,44
13 & 11 & 39;34,88
13 & 14 & 23;33,9
13 & 14 & 53;37,29
13 & 15 & 60;42,31
14 & 2 & 64;34,86
14 & 3 & 70;33,93
14 & 9 & 41;38
14 & 9 & 56;42
14 & 10 & 32;35,14
14 & 10 & 53;34,23
14 & 11 & 32;33,98
14 & 12 & 36;33,33
14 & 13 & 23;33,9
14 & 13 & 53;37,29
14 & 15 & 53;36,26
15 & 3 & 45;34,85
15 & 3 & 56;33,33
15 & 8 & 53;33,33
15 & 9 & 21;34,78
15 & 11 & 53;34,83
15 & 12 & 36;36,75
15 & 12 & 53;35,9
15 & 13 & 60;42,31
15 & 14 & 53;36,26
15 & 27 & 53;34,56
15 & 45 & 53;33,8
16 & 2 & 54;34,09
16 & 3 & 23;34,88
16 & 3 & 35;37,21
16 & 8 & 67;35
16 & 10 & 53;35,29
19 & 47 & 17;33,28
21 & 3 & 20;36,07
27 & 10 & 53;36,18
27 & 15 & 53;34,56
27 & 58 & 53;33,08
29 & 10 & 53;35,59
29 & 11 & 53;33,97
30 & 10 & 53;36,12
31 & 10 & 53;35,19
32 & 10 & 53;34,91
36 & 11 & 53;35,96
45 & 3 & 20;35,58
45 & 10 & 53;35,15
45 & 15 & 53;33,8
47 & 4 & 17;34,57
47 & 6 & 17;33,8
47 & 8 & 21;33,53
47 & 19 & 17;33,28
47 & 52 & 17;33,15
50 & 11 & 53;33,2
51 & 3 & 20;34,48
52 & 47 & 17;33,15
54 & 10 & 53;37,3
55 & 8 & 35;34,99
56 & 11 & 53;36,27
57 & 11 & 53;36,98
58 & 10 & 53;33,68
58 & 27 & 53;33,08
60 & 11 & 53;36,67
70 & 12 & 36;35,04
72 & 10 & 53;33,4
