nr, zaleznosci;procent
1 & 3 & 26;35,29
1 & 3 & 65;33,33
1 & 7 & 17;34,38
1 & 14 & 17;37,8
1 & 15 & 69;35,44
2 & 15 & 36;35,24
3 & 1 & 26;35,29
3 & 1 & 65;33,33
3 & 4 & 49;35,48
3 & 4 & 52;35,48
3 & 9 & 35;33,33
3 & 11 & 31;34,29
3 & 13 & 35;36
3 & 14 & 21;34,33
3 & 14 & 57;38,81
3 & 15 & 31;34,52
3 & 56 & 20;34,44
4 & 3 & 49;35,48
4 & 3 & 52;35,48
4 & 7 & 34;37,7
4 & 8 & 67;34,31
4 & 14 & 17;40,58
4 & 14 & 56;34,78
4 & 47 & 17;33,12
5 & 7 & 57;35,48
5 & 8 & 20;35,19
5 & 13 & 68;33,33
5 & 14 & 57;36
5 & 49 & 57;33,44
5 & 55 & 57;33,33
6 & 9 & 18;34,69
7 & 1 & 17;34,38
7 & 4 & 34;37,7
7 & 5 & 57;35,48
7 & 8 & 52;34,92
7 & 11 & 42;35,71
7 & 11 & 44;33,33
7 & 64 & 42;33,96
8 & 4 & 67;34,31
8 & 5 & 20;35,19
8 & 7 & 52;34,92
8 & 9 & 18;36,99
8 & 11 & 20;34,09
8 & 12 & 35;33,65
8 & 13 & 39;40,23
9 & 3 & 35;33,33
9 & 6 & 18;34,69
9 & 8 & 18;36,99
9 & 10 & 18;34,09
9 & 11 & 38;33,33
9 & 12 & 57;34,85
9 & 12 & 71;34,85
9 & 14 & 71;40
9 & 15 & 36;34,48
9 & 15 & 39;34,48
9 & 15 & 43;39,66
9 & 54 & 18;33,17
10 & 9 & 18;34,09
10 & 13 & 53;34,78
10 & 13 & 65;39,13
10 & 13 & 70;33,7
10 & 54 & 53;35
11 & 3 & 31;34,29
11 & 7 & 42;35,71
11 & 7 & 44;33,33
11 & 8 & 20;34,09
11 & 9 & 38;33,33
11 & 15 & 31;33,33
11 & 15 & 53;33,33
11 & 57 & 53;33,04
11 & 59 & 53;33,11
11 & 60 & 53;34,72
12 & 8 & 35;33,65
12 & 9 & 57;34,85
12 & 9 & 71;34,85
12 & 15 & 53;33,33
12 & 58 & 53;33,55
13 & 3 & 35;36
13 & 5 & 68;33,33
13 & 8 & 39;40,23
13 & 10 & 53;34,78
13 & 10 & 65;39,13
13 & 10 & 70;33,7
13 & 14 & 39;33,9
13 & 16 & 53;36,71
14 & 1 & 17;37,8
14 & 3 & 21;34,33
14 & 3 & 57;38,81
14 & 4 & 17;40,58
14 & 4 & 56;34,78
14 & 5 & 57;36
14 & 9 & 71;40
14 & 13 & 39;33,9
14 & 16 & 53;33,75
15 & 1 & 69;35,44
15 & 2 & 36;35,24
15 & 3 & 31;34,52
15 & 9 & 36;34,48
15 & 9 & 39;34,48
15 & 9 & 43;39,66
15 & 11 & 31;33,33
15 & 11 & 53;33,33
15 & 12 & 53;33,33
15 & 16 & 53;33,77
15 & 16 & 54;33,77
15 & 59 & 53;34,48
16 & 13 & 53;36,71
16 & 14 & 53;33,75
16 & 15 & 53;33,77
16 & 15 & 54;33,77
16 & 55 & 53;33,09
27 & 30 & 53;33,4
27 & 32 & 53;33,27
30 & 27 & 53;33,4
32 & 27 & 53;33,27
47 & 4 & 17;33,12
49 & 5 & 57;33,44
54 & 9 & 18;33,17
54 & 10 & 53;35
55 & 5 & 57;33,33
55 & 16 & 53;33,09
56 & 3 & 20;34,44
57 & 11 & 53;33,04
58 & 12 & 53;33,55
59 & 11 & 53;33,11
59 & 15 & 53;34,48
60 & 11 & 53;34,72
64 & 7 & 42;33,96
