nr zaleznosci;procent
2 & 17;25,88
3 & 35;25,72
4 & 17;26,04
8 & 20;25,37
9 & 56;25,96
10 & 53;28,15
11 & 53;28,64
12 & 53;25,52
14 & 53;25,91
15 & 53;25,63
17 & 53;25,11
19 & 17;25,63
20 & 17;25,38
27 & 53;27,23
28 & 53;25,95
30 & 53;26,51
31 & 53;25,76
32 & 53;25,91
45 & 53;26,64
47 & 17;26,15
52 & 17;25,02
54 & 53;26,49
55 & 53;25,13
56 & 53;26,22
57 & 53;25,44
58 & 53;25,32
59 & 53;25,35
60 & 53;25,49
