nr zaleznosci;procent
2 & 17;25,61
3 & 20;27,03
4 & 17;26,57
10 & 20;25,17
10 & 53;27,7
11 & 53;26,38
12 & 53;25,77
13 & 53;25,83
14 & 53;26,07
19 & 17;25,08
20 & 17;25,27
23 & 17;25,18
24 & 17;25,33
27 & 53;27,97
28 & 53;25,61
29 & 53;25,03
30 & 53;25,71
31 & 53;26,03
32 & 53;25,88
45 & 53;26,06
47 & 17;27,29
48 & 17;25,33
50 & 17;25,42
52 & 17;25,13
54 & 53;26,07
55 & 53;25,24
56 & 53;26,76
57 & 53;25,29
58 & 53;25,33
59 & 53;25,6
60 & 53;25,88
