nr, zaleznosci;procent
1 & 7 & 52;34,44
2 & 3 & 21;38,81
2 & 6 & 17;36,23
2 & 9 & 56;37,5
2 & 14 & 36;33,64
2 & 14 & 53;33,64
3 & 2 & 21;38,81
3 & 4 & 45;33,33
3 & 5 & 20;34,43
3 & 7 & 24;37,1
3 & 8 & 20;35,19
3 & 8 & 35;42,59
3 & 8 & 45;33,33
3 & 12 & 48;35,71
3 & 14 & 64;34,43
3 & 16 & 20;34,78
3 & 21 & 20;34,39
3 & 45 & 20;36,57
3 & 69 & 35;33,08
4 & 3 & 45;33,33
4 & 7 & 41;38,46
4 & 9 & 31;37,78
4 & 9 & 34;37,78
4 & 9 & 35;33,33
4 & 9 & 57;33,33
4 & 13 & 65;34,55
4 & 14 & 28;36,21
4 & 14 & 51;34,48
4 & 20 & 17;34,44
5 & 3 & 20;34,43
5 & 7 & 57;35
5 & 11 & 57;35,59
5 & 12 & 20;40
6 & 2 & 17;36,23
6 & 7 & 42;33,33
6 & 8 & 59;34,52
6 & 9 & 18;35,59
6 & 11 & 42;35,9
6 & 11 & 53;34,62
6 & 47 & 17;33,43
7 & 1 & 52;34,44
7 & 3 & 24;37,1
7 & 4 & 41;38,46
7 & 5 & 57;35
7 & 6 & 42;33,33
7 & 8 & 17;34,92
7 & 8 & 34;38,1
7 & 10 & 24;38,24
7 & 10 & 41;35,29
7 & 10 & 42;35,29
7 & 10 & 48;35,29
7 & 12 & 17;40,68
7 & 15 & 44;40,23
7 & 15 & 67;33,33
8 & 3 & 20;35,19
8 & 3 & 35;42,59
8 & 3 & 45;33,33
8 & 6 & 59;34,52
8 & 7 & 17;34,92
8 & 7 & 34;38,1
8 & 10 & 35;34,29
8 & 11 & 60;34,15
8 & 11 & 66;39,02
8 & 12 & 20;33,33
8 & 12 & 35;37,18
8 & 13 & 21;35,29
9 & 2 & 56;37,5
9 & 4 & 31;37,78
9 & 4 & 34;37,78
9 & 4 & 35;33,33
9 & 4 & 57;33,33
9 & 6 & 18;35,59
9 & 10 & 29;33,33
9 & 10 & 38;33,33
9 & 11 & 32;33,33
9 & 11 & 57;42,42
9 & 11 & 70;33,33
9 & 11 & 71;36,36
9 & 14 & 25;34,62
9 & 14 & 61;36,54
9 & 15 & 56;35,53
9 & 16 & 18;34,12
9 & 30 & 25;33,03
9 & 33 & 35;33
9 & 56 & 25;33,18
10 & 7 & 24;38,24
10 & 7 & 41;35,29
10 & 7 & 42;35,29
10 & 7 & 48;35,29
10 & 8 & 35;34,29
10 & 9 & 29;33,33
10 & 9 & 38;33,33
10 & 11 & 53;37,84
10 & 12 & 25;36,36
10 & 12 & 53;42,42
10 & 13 & 53;34,57
10 & 14 & 32;33,68
10 & 14 & 41;33,68
10 & 30 & 53;37,87
10 & 54 & 53;34,55
10 & 56 & 53;34,79
10 & 58 & 53;35,68
11 & 5 & 57;35,59
11 & 6 & 42;35,9
11 & 6 & 53;34,62
11 & 8 & 60;34,15
11 & 8 & 66;39,02
11 & 9 & 32;33,33
11 & 9 & 57;42,42
11 & 9 & 70;33,33
11 & 9 & 71;36,36
11 & 10 & 53;37,84
11 & 13 & 32;37,04
11 & 13 & 34;33,33
11 & 13 & 44;33,33
11 & 14 & 53;38,94
11 & 16 & 37;41,18
11 & 31 & 53;33,63
11 & 32 & 53;35,58
11 & 40 & 53;33,52
11 & 56 & 53;34,02
12 & 3 & 48;35,71
12 & 5 & 20;40
12 & 7 & 17;40,68
12 & 8 & 20;33,33
12 & 8 & 35;37,18
12 & 10 & 25;36,36
12 & 10 & 53;42,42
12 & 14 & 53;35,29
12 & 14 & 71;33,33
12 & 15 & 36;38,94
13 & 4 & 65;34,55
13 & 8 & 21;35,29
13 & 10 & 53;34,57
13 & 11 & 32;37,04
13 & 11 & 34;33,33
13 & 11 & 44;33,33
13 & 15 & 65;34,48
14 & 2 & 36;33,64
14 & 2 & 53;33,64
14 & 3 & 64;34,43
14 & 4 & 28;36,21
14 & 4 & 51;34,48
14 & 9 & 25;34,62
14 & 9 & 61;36,54
14 & 10 & 32;33,68
14 & 10 & 41;33,68
14 & 11 & 53;38,94
14 & 12 & 53;35,29
14 & 12 & 71;33,33
15 & 7 & 44;40,23
15 & 7 & 67;33,33
15 & 9 & 56;35,53
15 & 12 & 36;38,94
15 & 13 & 65;34,48
15 & 16 & 53;35
15 & 27 & 53;34
16 & 3 & 20;34,78
16 & 9 & 18;34,12
16 & 11 & 37;41,18
16 & 15 & 53;35
16 & 27 & 53;33,51
20 & 4 & 17;34,44
21 & 3 & 20;34,39
27 & 15 & 53;34
27 & 16 & 53;33,51
27 & 30 & 53;33,9
27 & 32 & 53;33,44
27 & 45 & 53;33,16
30 & 9 & 25;33,03
30 & 10 & 53;37,87
30 & 27 & 53;33,9
31 & 11 & 53;33,63
32 & 11 & 53;35,58
32 & 27 & 53;33,44
33 & 9 & 35;33
40 & 11 & 53;33,52
45 & 3 & 20;36,57
45 & 27 & 53;33,16
47 & 6 & 17;33,43
54 & 10 & 53;34,55
56 & 9 & 25;33,18
56 & 10 & 53;34,79
56 & 11 & 53;34,02
58 & 10 & 53;35,68
69 & 3 & 35;33,08
