nr zaleznosci;procent
4 & 17;26,98
7 & 17;25,56
10 & 53;25,26
11 & 53;26,19
12 & 53;27,3
13 & 53;25,39
14 & 53;25,18
16 & 53;26,27
20 & 17;25,25
27 & 53;27,96
28 & 53;25,22
29 & 53;25,48
30 & 53;26,15
31 & 53;25,99
32 & 53;25,82
45 & 53;26,49
47 & 17;26,63
52 & 17;25,35
54 & 53;26,18
56 & 53;25,97
58 & 53;25,7
59 & 53;25,39
60 & 53;25,59
