nr zaleznosci;procent
2 & 17;25,38
4 & 17;27,18
6 & 17;25,26
8 & 17;26,05
8 & 20;25,51
8 & 35;25,01
10 & 53;26,71
11 & 53;28,16
12 & 53;26,18
15 & 53;25,41
16 & 53;25,55
17 & 53;25,25
20 & 17;25,1
27 & 53;28,12
28 & 53;25,77
29 & 53;25,38
30 & 53;25,62
31 & 53;26,52
32 & 53;26,01
45 & 53;26,3
47 & 17;26,6
51 & 17;25,02
54 & 53;26,76
55 & 53;25,63
56 & 53;26,39
57 & 53;25,34
58 & 53;25,13
59 & 53;25,67
60 & 53;25,32
