nr zaleznosci;procent
3 & 20;27,06
4 & 17;26,27
7 & 17;25,05
10 & 53;26,11
11 & 53;27,28
12 & 53;26,13
13 & 53;25,68
14 & 53;26,01
15 & 53;25,54
24 & 17;25,04
27 & 53;27,07
28 & 53;25,12
29 & 53;25,41
30 & 53;25,52
31 & 53;25,71
32 & 53;26,18
45 & 53;26,27
47 & 17;26,66
48 & 17;25,12
54 & 53;26,22
55 & 53;25,01
56 & 53;25,76
57 & 53;25,21
58 & 53;25,67
59 & 53;25,61
60 & 53;26,26
