nr, zaleznosci;procent
1 & 4 & 17;36,61
1 & 15 & 21;37,76
2 & 3 & 21;34,62
2 & 3 & 40;38,46
2 & 11 & 45;33,33
2 & 11 & 53;33,33
2 & 13 & 63;33,33
2 & 15 & 53;33,02
3 & 2 & 21;34,62
3 & 2 & 40;38,46
3 & 4 & 53;33,33
3 & 6 & 20;33,7
3 & 7 & 41;33,33
3 & 7 & 44;35,29
3 & 8 & 35;42,22
3 & 8 & 70;33,33
3 & 9 & 35;37,5
3 & 10 & 54;38,1
3 & 10 & 61;34,92
3 & 12 & 20;34,48
3 & 13 & 32;37,78
3 & 13 & 65;33,33
3 & 14 & 24;35,71
3 & 15 & 52;33,75
3 & 18 & 20;34,16
3 & 56 & 20;35,47
3 & 69 & 35;35,91
4 & 1 & 17;36,61
4 & 3 & 53;33,33
4 & 7 & 17;36,71
4 & 8 & 33;34,69
4 & 9 & 18;35,29
4 & 9 & 56;35,29
4 & 13 & 28;37,5
4 & 13 & 60;39,58
4 & 16 & 61;34,86
4 & 22 & 17;35,04
5 & 7 & 67;35,82
5 & 8 & 20;33,02
5 & 10 & 35;33,65
5 & 11 & 42;35,71
5 & 11 & 53;33,93
5 & 12 & 20;35,53
5 & 12 & 71;34,21
5 & 33 & 67;34,63
6 & 3 & 20;33,7
6 & 8 & 20;34,88
7 & 3 & 41;33,33
7 & 3 & 44;35,29
7 & 4 & 17;36,71
7 & 5 & 67;35,82
7 & 8 & 17;34,09
7 & 9 & 63;37,5
7 & 11 & 42;37,5
7 & 11 & 45;35
7 & 14 & 44;33,87
7 & 16 & 63;34,43
7 & 47 & 17;36,81
7 & 51 & 17;33,33
8 & 3 & 35;42,22
8 & 3 & 70;33,33
8 & 4 & 33;34,69
8 & 5 & 20;33,02
8 & 6 & 20;34,88
8 & 7 & 17;34,09
8 & 9 & 35;34,48
8 & 11 & 56;37,74
8 & 12 & 35;37,25
9 & 3 & 35;37,5
9 & 4 & 18;35,29
9 & 4 & 56;35,29
9 & 7 & 63;37,5
9 & 8 & 35;34,48
9 & 10 & 35;42,11
9 & 11 & 28;34,21
9 & 11 & 34;34,21
9 & 11 & 60;34,21
9 & 11 & 71;34,21
9 & 13 & 41;36,67
9 & 14 & 41;34,62
9 & 16 & 56;34,83
9 & 20 & 56;34,9
9 & 48 & 56;33,91
9 & 58 & 56;34,84
9 & 60 & 56;33,71
10 & 3 & 54;38,1
10 & 3 & 61;34,92
10 & 5 & 35;33,65
10 & 9 & 35;42,11
10 & 11 & 53;36,99
10 & 12 & 20;37,21
10 & 12 & 35;34,88
10 & 12 & 53;36,05
10 & 16 & 54;36,14
10 & 17 & 53;33,33
10 & 27 & 53;35,24
10 & 30 & 53;33,51
10 & 32 & 53;34,98
10 & 44 & 53;34,31
10 & 54 & 53;34,75
10 & 58 & 53;33,16
11 & 2 & 45;33,33
11 & 2 & 53;33,33
11 & 5 & 42;35,71
11 & 5 & 53;33,93
11 & 7 & 42;37,5
11 & 7 & 45;35
11 & 8 & 56;37,74
11 & 9 & 28;34,21
11 & 9 & 34;34,21
11 & 9 & 60;34,21
11 & 9 & 71;34,21
11 & 10 & 53;36,99
11 & 14 & 53;43,48
11 & 16 & 37;34,85
11 & 16 & 42;37,88
11 & 16 & 53;37,88
11 & 19 & 33;33,68
11 & 30 & 53;33,33
11 & 31 & 53;36,12
11 & 50 & 53;34
11 & 56 & 53;34,9
11 & 58 & 53;36,21
12 & 3 & 20;34,48
12 & 5 & 20;35,53
12 & 5 & 71;34,21
12 & 8 & 35;37,25
12 & 10 & 20;37,21
12 & 10 & 35;34,88
12 & 10 & 53;36,05
12 & 14 & 57;34,34
12 & 58 & 53;33,55
13 & 2 & 63;33,33
13 & 3 & 32;37,78
13 & 3 & 65;33,33
13 & 4 & 28;37,5
13 & 4 & 60;39,58
13 & 9 & 41;36,67
14 & 3 & 24;35,71
14 & 7 & 44;33,87
14 & 9 & 41;34,62
14 & 11 & 53;43,48
14 & 12 & 57;34,34
14 & 15 & 53;37,08
15 & 1 & 21;37,76
15 & 2 & 53;33,02
15 & 3 & 52;33,75
15 & 14 & 53;37,08
15 & 27 & 53;33,72
16 & 4 & 61;34,86
16 & 7 & 63;34,43
16 & 9 & 56;34,83
16 & 10 & 54;36,14
16 & 11 & 37;34,85
16 & 11 & 42;37,88
16 & 11 & 53;37,88
16 & 64 & 42;34,13
17 & 10 & 53;33,33
18 & 3 & 20;34,16
19 & 11 & 33;33,68
20 & 9 & 56;34,9
22 & 4 & 17;35,04
27 & 10 & 53;35,24
27 & 15 & 53;33,72
27 & 30 & 53;33,5
30 & 10 & 53;33,51
30 & 11 & 53;33,33
30 & 27 & 53;33,5
31 & 11 & 53;36,12
32 & 10 & 53;34,98
33 & 5 & 67;34,63
44 & 10 & 53;34,31
47 & 7 & 17;36,81
48 & 9 & 56;33,91
50 & 11 & 53;34
51 & 7 & 17;33,33
54 & 10 & 53;34,75
56 & 3 & 20;35,47
56 & 11 & 53;34,9
58 & 9 & 56;34,84
58 & 10 & 53;33,16
58 & 11 & 53;36,21
58 & 12 & 53;33,55
60 & 9 & 56;33,71
64 & 16 & 42;34,13
69 & 3 & 35;35,91
