nr zaleznosci;procent
2 & 17;25,08
3 & 20;26,01
4 & 17;28,68
5 & 17;25,26
6 & 17;25,89
10 & 53;28,83
11 & 53;26,49
12 & 53;25,1
13 & 53;27,1
14 & 53;25,61
16 & 53;26,46
17 & 53;25,2
19 & 53;25,11
21 & 17;25,05
23 & 17;25,21
27 & 53;28,63
28 & 53;26,18
29 & 53;25,71
30 & 53;26,03
31 & 53;25,54
32 & 53;26,14
45 & 53;26,28
47 & 17;26,54
51 & 17;25,21
54 & 53;26,32
55 & 53;25,36
56 & 53;26,61
57 & 53;26,26
58 & 53;25,41
59 & 53;26,01
60 & 53;26,23
