nr zaleznosci;procent
2 & 17;26,25
4 & 17;26,09
6 & 17;25,12
8 & 17;25,54
10 & 53;26,55
11 & 53;27
12 & 53;25,77
13 & 53;26,25
14 & 53;25,03
16 & 53;26,3
19 & 17;25,25
20 & 17;25,31
27 & 53;27,29
28 & 53;25,67
29 & 53;25,62
31 & 53;25,7
32 & 53;26,05
45 & 53;26,75
47 & 17;26,71
48 & 17;25,23
51 & 17;25,41
54 & 53;26,66
55 & 53;25,12
56 & 53;26,36
57 & 53;26
58 & 53;25,57
59 & 53;25,72
60 & 53;26,03
