nr, zaleznosci;procent
1 & 3 & 20;35,42
1 & 3 & 37;35,42
1 & 3 & 54;33,33
1 & 7 & 25;34,88
1 & 7 & 41;36,05
1 & 15 & 44;35,48
2 & 6 & 17;35,65
2 & 8 & 17;36,96
2 & 11 & 17;34,34
2 & 51 & 17;33,78
3 & 1 & 20;35,42
3 & 1 & 37;35,42
3 & 1 & 54;33,33
3 & 7 & 45;38,71
3 & 8 & 20;34,62
3 & 10 & 61;41,67
3 & 10 & 65;33,33
3 & 12 & 45;36,17
3 & 13 & 53;36,96
3 & 16 & 35;36,36
3 & 16 & 48;34,09
3 & 18 & 20;34,4
3 & 50 & 20;33,04
3 & 69 & 35;34,87
4 & 9 & 25;33,8
4 & 16 & 53;38,71
5 & 7 & 18;37,25
5 & 7 & 44;33,33
5 & 14 & 51;35,23
6 & 2 & 17;35,65
6 & 15 & 69;34,48
6 & 16 & 69;36,84
7 & 1 & 25;34,88
7 & 1 & 41;36,05
7 & 3 & 45;38,71
7 & 5 & 18;37,25
7 & 5 & 44;33,33
7 & 10 & 34;36
7 & 13 & 70;33,33
7 & 16 & 67;33,9
8 & 2 & 17;36,96
8 & 3 & 20;34,62
8 & 10 & 31;36,62
8 & 11 & 18;42,42
8 & 12 & 43;34,02
9 & 4 & 25;33,8
9 & 10 & 25;34,78
9 & 10 & 35;34,78
9 & 11 & 18;34,21
9 & 11 & 56;34,21
9 & 11 & 61;34,21
9 & 11 & 71;39,47
9 & 14 & 56;37,78
9 & 14 & 71;33,33
10 & 3 & 61;41,67
10 & 3 & 65;33,33
10 & 7 & 34;36
10 & 8 & 31;36,62
10 & 9 & 25;34,78
10 & 9 & 35;34,78
10 & 11 & 53;33,33
10 & 14 & 66;34,26
11 & 2 & 17;34,34
11 & 8 & 18;42,42
11 & 9 & 18;34,21
11 & 9 & 56;34,21
11 & 9 & 61;34,21
11 & 9 & 71;39,47
11 & 10 & 53;33,33
11 & 13 & 53;34,72
11 & 15 & 53;33,67
11 & 32 & 53;33,62
11 & 57 & 53;35,56
12 & 3 & 45;36,17
12 & 8 & 43;34,02
12 & 14 & 51;33,91
13 & 3 & 53;36,96
13 & 7 & 70;33,33
13 & 11 & 53;34,72
13 & 14 & 28;36,36
13 & 14 & 54;34,55
13 & 15 & 44;34,43
13 & 27 & 53;35,57
13 & 59 & 53;34,02
13 & 60 & 53;33,2
14 & 5 & 51;35,23
14 & 9 & 56;37,78
14 & 9 & 71;33,33
14 & 10 & 66;34,26
14 & 12 & 51;33,91
14 & 13 & 28;36,36
14 & 13 & 54;34,55
14 & 16 & 53;39,66
15 & 1 & 44;35,48
15 & 6 & 69;34,48
15 & 11 & 53;33,67
15 & 13 & 44;34,43
15 & 16 & 53;34,12
16 & 3 & 35;36,36
16 & 3 & 48;34,09
16 & 4 & 53;38,71
16 & 6 & 69;36,84
16 & 7 & 67;33,9
16 & 14 & 53;39,66
16 & 15 & 53;34,12
16 & 31 & 53;34,75
16 & 54 & 53;33,46
18 & 3 & 20;34,4
27 & 13 & 53;35,57
27 & 30 & 53;33,11
27 & 58 & 53;33,07
30 & 27 & 53;33,11
31 & 16 & 53;34,75
32 & 11 & 53;33,62
50 & 3 & 20;33,04
51 & 2 & 17;33,78
54 & 16 & 53;33,46
57 & 11 & 53;35,56
58 & 27 & 53;33,07
59 & 13 & 53;34,02
60 & 13 & 53;33,2
69 & 3 & 35;34,87
