nr zaleznosci;procent
2 & 17;26,06
3 & 20;26,39
4 & 17;27,69
7 & 17;26
10 & 53;28,05
11 & 53;26,33
13 & 53;26,75
15 & 53;27,09
17 & 53;25,07
19 & 17;25,21
23 & 17;25,28
27 & 53;27,52
28 & 53;25,35
29 & 53;25,52
30 & 53;25,28
31 & 53;25,68
32 & 53;25,72
45 & 53;26,28
47 & 17;26,99
48 & 17;25,46
49 & 17;25,65
50 & 17;25,09
51 & 17;25,31
52 & 17;25,24
54 & 53;26,54
55 & 53;25,59
56 & 53;25,88
57 & 53;26,08
58 & 53;25,17
59 & 53;25,76
60 & 53;25,93
