nr, zaleznosci;procent
1 & 2 & 39;33,64
1 & 5 & 17;37,32
1 & 9 & 33;33,67
1 & 14 & 26;34,69
2 & 1 & 39;33,64
2 & 3 & 52;37,29
2 & 3 & 68;33,9
2 & 4 & 53;38,74
2 & 8 & 17;38,66
2 & 8 & 33;33,61
2 & 9 & 41;33,33
2 & 10 & 53;36,57
2 & 12 & 36;35,29
2 & 13 & 17;39,19
2 & 13 & 52;35,14
2 & 13 & 53;44,59
2 & 19 & 17;33,55
2 & 51 & 17;33,02
3 & 2 & 52;37,29
3 & 2 & 68;33,9
3 & 4 & 26;33,33
3 & 4 & 71;38,1
3 & 5 & 20;33,33
3 & 5 & 35;33,33
3 & 6 & 20;33,33
3 & 6 & 59;33,33
3 & 8 & 52;34,21
3 & 10 & 66;34,85
3 & 50 & 20;34,65
3 & 52 & 20;36,71
4 & 2 & 53;38,74
4 & 3 & 26;33,33
4 & 3 & 71;38,1
4 & 6 & 17;37,5
4 & 7 & 52;37,04
4 & 8 & 17;33,04
4 & 9 & 56;33,78
4 & 11 & 33;33,33
4 & 11 & 58;38,33
4 & 13 & 23;33,33
4 & 13 & 33;37,5
4 & 13 & 70;37,5
4 & 15 & 53;33,93
5 & 1 & 17;37,32
5 & 3 & 20;33,33
5 & 3 & 35;33,33
5 & 7 & 67;36,21
5 & 8 & 20;34,62
5 & 11 & 45;35,56
5 & 11 & 72;37,78
5 & 12 & 53;33,33
5 & 13 & 67;33,66
5 & 14 & 17;33,33
6 & 3 & 20;33,33
6 & 3 & 59;33,33
6 & 4 & 17;37,5
6 & 8 & 39;38,46
6 & 9 & 43;35,59
6 & 10 & 53;34,91
6 & 11 & 70;34,21
6 & 12 & 53;35,8
6 & 13 & 69;33,8
6 & 13 & 70;35,21
6 & 15 & 72;33,02
7 & 4 & 52;37,04
7 & 5 & 67;36,21
7 & 8 & 67;34,38
7 & 10 & 29;33,33
7 & 11 & 34;35,09
7 & 11 & 70;38,6
7 & 12 & 17;40
7 & 12 & 36;38
7 & 12 & 48;36
7 & 12 & 53;38
7 & 12 & 57;34
7 & 13 & 67;34,09
7 & 14 & 53;33,33
7 & 16 & 53;37,5
8 & 2 & 17;38,66
8 & 2 & 33;33,61
8 & 3 & 52;34,21
8 & 4 & 17;33,04
8 & 5 & 20;34,62
8 & 6 & 39;38,46
8 & 7 & 67;34,38
8 & 11 & 70;35
8 & 13 & 70;34,88
8 & 15 & 39;36,59
9 & 1 & 33;33,67
9 & 2 & 41;33,33
9 & 4 & 56;33,78
9 & 6 & 43;35,59
9 & 10 & 59;36,96
9 & 11 & 28;33,33
9 & 11 & 31;37,04
9 & 11 & 33;33,33
9 & 11 & 34;40,74
9 & 11 & 70;37,04
9 & 47 & 33;34,31
10 & 2 & 53;36,57
10 & 3 & 66;34,85
10 & 6 & 53;34,91
10 & 7 & 29;33,33
10 & 9 & 59;36,96
10 & 11 & 38;40
10 & 11 & 42;35
10 & 12 & 53;35,92
10 & 14 & 53;33,64
10 & 16 & 53;38,18
10 & 24 & 53;33,78
10 & 27 & 53;34,55
10 & 45 & 53;34,39
10 & 54 & 53;33,04
10 & 56 & 53;33,65
10 & 59 & 53;33,74
10 & 60 & 53;33,69
11 & 4 & 33;33,33
11 & 4 & 58;38,33
11 & 5 & 45;35,56
11 & 5 & 72;37,78
