nr zaleznosci;procent
1 & 17;25,31
2 & 17;25,8
3 & 20;25,1
4 & 17;26,43
7 & 17;25,51
8 & 17;25,73
10 & 53;28,23
11 & 53;27,11
12 & 53;26,68
13 & 53;25,43
14 & 53;26,59
15 & 53;26,23
16 & 53;26,68
17 & 53;25,08
27 & 53;28,07
28 & 53;26,31
29 & 53;25,83
30 & 53;25,64
31 & 53;26,1
32 & 53;25,77
45 & 53;26,58
47 & 17;26,85
54 & 53;26,33
55 & 53;25,7
56 & 53;26,18
57 & 53;25,22
58 & 53;25,89
59 & 53;26,42
60 & 53;26,11
