nr zaleznosci;procent
3 & 20;26,47
3 & 35;25,54
4 & 17;26,59
9 & 35;25,57
10 & 53;28,37
11 & 53;26,4
15 & 53;25,92
16 & 53;26,4
20 & 17;25,05
23 & 17;25,13
27 & 53;27,56
28 & 53;26,44
29 & 53;25,77
30 & 53;25,36
31 & 53;25,52
32 & 53;26,56
45 & 53;26,89
47 & 17;27,03
48 & 17;25,21
52 & 17;25,27
54 & 53;26,83
55 & 53;26,32
56 & 53;26,31
57 & 53;26,02
58 & 53;26,4
59 & 53;26,16
60 & 53;26,38
