nr, zaleznosci;procent
1 & 3 & 48;39,19
1 & 6 & 48;37,89
1 & 7 & 29;34,09
2 & 5 & 17;39,45
2 & 11 & 53;35,25
2 & 29 & 53;36,07
3 & 1 & 48;39,19
3 & 4 & 35;38,78
3 & 5 & 20;34,55
3 & 6 & 20;35,48
3 & 7 & 35;39,62
3 & 7 & 36;33,96
3 & 8 & 35;35,56
3 & 8 & 70;37,78
3 & 9 & 35;36,76
3 & 9 & 61;41,18
3 & 11 & 38;38,33
3 & 12 & 36;33,33
3 & 14 & 20;35,71
3 & 14 & 64;39,29
3 & 18 & 35;33,18
3 & 22 & 20;35,29
3 & 27 & 35;36,79
3 & 58 & 35;33,17
3 & 69 & 35;39,92
4 & 3 & 35;38,78
4 & 6 & 17;36,17
4 & 9 & 18;39,68
4 & 12 & 33;41,6
4 & 14 & 41;33,33
4 & 26 & 18;33,67
4 & 49 & 17;34,2
5 & 2 & 17;39,45
5 & 3 & 20;34,55
5 & 6 & 24;35,82
5 & 6 & 31;34,33
5 & 6 & 72;35,82
5 & 9 & 35;35,21
5 & 11 & 18;34
5 & 12 & 20;33,33
5 & 13 & 17;35,34
5 & 14 & 67;38,54
5 & 56 & 53;33,12
6 & 1 & 48;37,89
6 & 3 & 20;35,48
6 & 4 & 17;36,17
6 & 5 & 24;35,82
6 & 5 & 31;34,33
6 & 5 & 72;35,82
6 & 7 & 24;34,48
6 & 8 & 70;36,84
6 & 11 & 42;33,75
6 & 14 & 72;34,65
6 & 15 & 53;33,04
7 & 1 & 29;34,09
7 & 3 & 35;39,62
7 & 3 & 36;33,96
7 & 6 & 24;34,48
7 & 11 & 19;39,02
7 & 11 & 57;36,59
7 & 12 & 17;37,78
7 & 12 & 45;33,33
7 & 12 & 60;37,78
7 & 12 & 61;35,56
7 & 16 & 41;36,51
7 & 47 & 17;34,26
7 & 50 & 17;36,07
8 & 3 & 35;35,56
8 & 3 & 70;37,78
8 & 6 & 70;36,84
8 & 9 & 18;34,57
8 & 10 & 31;33,33
8 & 11 & 33;48,94
8 & 11 & 63;36,17
8 & 13 & 65;34,69
8 & 16 & 67;36,04
9 & 3 & 35;36,76
9 & 3 & 61;41,18
9 & 4 & 18;39,68
9 & 5 & 35;35,21
9 & 8 & 18;34,57
9 & 10 & 25;38,46
9 & 11 & 38;37,21
9 & 11 & 42;37,21
9 & 13 & 32;40
9 & 13 & 35;34,55
9 & 14 & 56;46,3
9 & 14 & 71;33,33
9 & 15 & 31;34,33
9 & 30 & 56;34,43
9 & 54 & 56;33,33
10 & 8 & 31;33,33
10 & 9 & 25;38,46
10 & 14 & 53;36,19
10 & 17 & 53;35,86
10 & 27 & 53;37,5
10 & 29 & 53;34,25
10 & 32 & 53;33,82
10 & 58 & 53;36,32
10 & 60 & 53;35,8
11 & 2 & 53;35,25
11 & 3 & 38;38,33
11 & 5 & 18;34
11 & 6 & 42;33,75
11 & 7 & 19;39,02
11 & 7 & 57;36,59
11 & 8 & 33;48,94
11 & 8 & 63;36,17
11 & 9 & 38;37,21
11 & 9 & 42;37,21
11 & 13 & 60;35,85
11 & 16 & 17;34,92
11 & 16 & 53;34,92
11 & 28 & 53;33,69
11 & 30 & 53;34,26
11 & 60 & 53;33,48
12 & 3 & 36;33,33
12 & 4 & 33;41,6
12 & 5 & 20;33,33
12 & 7 & 17;37,78
12 & 7 & 45;33,33
12 & 7 & 60;37,78
