nr, zaleznosci;procent
1 & 3 & 69;36
1 & 6 & 69;33,33
1 & 15 & 48;34,48
2 & 6 & 17;34,11
2 & 14 & 53;33,33
3 & 1 & 69;36
3 & 4 & 42;33,33
3 & 4 & 70;33,33
3 & 5 & 20;34,69
3 & 6 & 20;34,15
3 & 9 & 40;33,33
3 & 10 & 20;34,85
3 & 11 & 20;33,33
3 & 12 & 20;36,36
3 & 13 & 60;33,33
3 & 14 & 64;37,78
3 & 15 & 56;37,5
3 & 16 & 54;35,71
3 & 24 & 20;34,38
4 & 3 & 42;33,33
4 & 3 & 70;33,33
4 & 7 & 23;35,53
4 & 7 & 24;34,21
4 & 7 & 34;36,84
4 & 8 & 17;35,96
4 & 13 & 37;36,36
4 & 24 & 17;34,08
5 & 3 & 20;34,69
5 & 6 & 17;36,84
5 & 6 & 24;35,09
5 & 6 & 43;33,33
5 & 6 & 45;33,33
5 & 14 & 44;33,71
5 & 14 & 57;35,96
6 & 1 & 69;33,33
6 & 2 & 17;34,11
6 & 3 & 20;34,15
6 & 5 & 17;36,84
6 & 5 & 24;35,09
6 & 5 & 43;33,33
6 & 5 & 45;33,33
6 & 7 & 69;35,09
6 & 8 & 48;33,82
6 & 14 & 17;39,78
7 & 4 & 23;35,53
7 & 4 & 24;34,21
7 & 4 & 34;36,84
7 & 6 & 69;35,09
7 & 8 & 35;35,19
7 & 8 & 61;33,33
7 & 9 & 52;34,21
7 & 10 & 29;34
7 & 10 & 48;40
7 & 12 & 57;33,93
7 & 14 & 44;45,61
7 & 16 & 23;34,85
7 & 19 & 17;35,25
8 & 4 & 17;35,96
8 & 6 & 48;33,82
8 & 7 & 35;35,19
8 & 7 & 61;33,33
8 & 11 & 63;34,88
8 & 16 & 20;34,88
9 & 3 & 40;33,33
9 & 7 & 52;34,21
9 & 10 & 35;40,48
9 & 11 & 63;45,95
9 & 12 & 36;33,33
9 & 12 & 57;37,5
9 & 15 & 56;39,13
10 & 3 & 20;34,85
10 & 7 & 29;34
10 & 7 & 48;40
10 & 9 & 35;40,48
10 & 13 & 53;42,31
10 & 16 & 53;40,38
10 & 16 & 65;33,65
10 & 27 & 53;34,14
10 & 30 & 53;33,5
11 & 3 & 20;33,33
11 & 8 & 63;34,88
11 & 9 & 63;45,95
11 & 16 & 53;33,77
12 & 3 & 20;36,36
12 & 7 & 57;33,93
12 & 9 & 36;33,33
12 & 9 & 57;37,5
12 & 15 & 36;34,51
12 & 16 & 53;36,05
12 & 30 & 53;33,12
12 & 60 & 53;33,93
13 & 3 & 60;33,33
13 & 4 & 37;36,36
13 & 10 & 53;42,31
13 & 14 & 39;36,07
13 & 14 & 44;37,7
13 & 16 & 60;33,33
13 & 27 & 53;35,49
14 & 2 & 53;33,33
14 & 3 & 64;37,78
14 & 5 & 44;33,71
14 & 5 & 57;35,96
14 & 6 & 17;39,78
14 & 7 & 44;45,61
14 & 13 & 39;36,07
14 & 13 & 44;37,7
14 & 16 & 23;33,73
15 & 1 & 48;34,48
15 & 3 & 56;37,5
15 & 9 & 56;39,13
15 & 12 & 36;34,51
15 & 27 & 53;33,81
16 & 3 & 54;35,71
16 & 7 & 23;34,85
16 & 8 & 20;34,88
16 & 10 & 53;40,38
16 & 10 & 65;33,65
16 & 11 & 53;33,77
16 & 12 & 53;36,05
16 & 13 & 60;33,33
16 & 14 & 23;33,73
19 & 7 & 17;35,25
24 & 3 & 20;34,38
24 & 4 & 17;34,08
27 & 10 & 53;34,14
27 & 13 & 53;35,49
27 & 15 & 53;33,81
27 & 28 & 53;33,48
27 & 29 & 53;33,9
27 & 30 & 53;34,39
27 & 60 & 53;34,59
28 & 27 & 53;33,48
29 & 27 & 53;33,9
30 & 10 & 53;33,5
30 & 12 & 53;33,12
30 & 27 & 53;34,39
60 & 12 & 53;33,93
60 & 27 & 53;34,59
