nr, zaleznosci;procent
1 & 3 & 20;36,17
1 & 3 & 21;36,17
1 & 4 & 33;33,33
1 & 7 & 17;39,42
1 & 14 & 51;33,87
1 & 16 & 69;40,43
2 & 4 & 17;34,29
2 & 4 & 33;33,33
2 & 6 & 17;33,33
2 & 8 & 35;33,97
2 & 9 & 17;37,31
2 & 9 & 56;34,33
2 & 14 & 25;34,69
2 & 14 & 56;40,82
2 & 15 & 17;34,29
2 & 57 & 17;33,52
3 & 1 & 20;36,17
3 & 1 & 21;36,17
3 & 5 & 20;33,9
3 & 5 & 51;35,59
3 & 8 & 20;39,47
3 & 11 & 57;34,92
3 & 12 & 36;35,82
3 & 13 & 53;36,17
3 & 13 & 70;34,04
3 & 16 & 54;36,21
3 & 18 & 20;36,32
3 & 27 & 35;33,33
3 & 28 & 20;33,33
3 & 50 & 20;33,82
3 & 56 & 20;34,8
3 & 69 & 35;34,13
4 & 1 & 33;33,33
4 & 2 & 17;34,29
4 & 2 & 33;33,33
4 & 6 & 17;34,83
4 & 7 & 17;43,84
4 & 7 & 52;38,36
4 & 7 & 61;34,25
4 & 8 & 17;35,79
4 & 9 & 18;33,87
4 & 11 & 33;34,57
4 & 13 & 49;34,92
4 & 14 & 17;36,71
4 & 16 & 53;34,86
4 & 22 & 17;36,41
4 & 47 & 17;40,82
4 & 50 & 17;37,07
4 & 51 & 17;36,09
4 & 67 & 33;33,33
5 & 3 & 20;33,9
5 & 3 & 51;35,59
5 & 7 & 17;35,21
5 & 8 & 20;36,7
5 & 9 & 56;34,15
5 & 12 & 67;36
6 & 2 & 17;33,33
6 & 4 & 17;34,83
6 & 10 & 17;33,33
6 & 13 & 49;45,83
6 & 13 & 70;35,42
6 & 47 & 17;35,67
7 & 1 & 17;39,42
7 & 4 & 17;43,84
7 & 4 & 52;38,36
7 & 4 & 61;34,25
7 & 5 & 17;35,21
7 & 8 & 61;40,68
7 & 9 & 61;37,5
7 & 10 & 53;40,48
7 & 10 & 70;40,48
7 & 13 & 70;36,71
7 & 16 & 57;34,78
7 & 16 & 69;37,68
7 & 18 & 17;35,05
7 & 47 & 17;33,76
7 & 52 & 17;35,51
8 & 2 & 35;33,97
8 & 3 & 20;39,47
8 & 4 & 17;35,79
8 & 5 & 20;36,7
8 & 7 & 61;40,68
8 & 9 & 21;38,03
8 & 9 & 71;36,62
8 & 11 & 59;33,33
8 & 13 & 21;33,33
8 & 13 & 44;37,04
8 & 48 & 17;34,03
9 & 2 & 17;37,31
9 & 2 & 56;34,33
9 & 4 & 18;33,87
9 & 5 & 56;34,15
9 & 7 & 61;37,5
9 & 8 & 21;38,03
9 & 8 & 71;36,62
9 & 10 & 32;38,46
9 & 10 & 38;41,03
9 & 15 & 25;36,51
9 & 15 & 31;34,92
9 & 15 & 56;33,33
9 & 16 & 56;33,33
9 & 67 & 71;33,1
10 & 6 & 17;33,33
10 & 7 & 53;40,48
10 & 7 & 70;40,48
10 & 9 & 32;38,46
10 & 9 & 38;41,03
10 & 13 & 53;35,37
10 & 14 & 44;34,26
10 & 19 & 53;33,03
10 & 27 & 53;38,1
10 & 29 & 53;33,53
10 & 32 & 53;34,15
11 & 3 & 57;34,92
11 & 4 & 33;34,57
11 & 8 & 59;33,33
11 & 16 & 65;33,33
12 & 3 & 36;35,82
12 & 5 & 67;36
12 & 14 & 34;33,72
12 & 16 & 53;35,25
12 & 21 & 20;33,01
13 & 3 & 53;36,17
13 & 3 & 70;34,04
13 & 4 & 49;34,92
13 & 6 & 49;45,83
13 & 6 & 70;35,42
13 & 7 & 70;36,71
13 & 8 & 21;33,33
13 & 8 & 44;37,04
13 & 10 & 53;35,37
13 & 15 & 49;37,29
13 & 16 & 69;36,11
14 & 1 & 51;33,87
14 & 2 & 25;34,69
14 & 2 & 56;40,82
14 & 4 & 17;36,71
14 & 10 & 44;34,26
14 & 12 & 34;33,72
14 & 15 & 36;37,14
14 & 15 & 56;34,29
15 & 2 & 17;34,29
15 & 9 & 25;36,51
15 & 9 & 31;34,92
15 & 9 & 56;33,33
15 & 13 & 49;37,29
15 & 14 & 36;37,14
15 & 14 & 56;34,29
15 & 16 & 53;33,72
15 & 27 & 53;33,41
16 & 1 & 69;40,43
16 & 3 & 54;36,21
16 & 4 & 53;34,86
16 & 7 & 57;34,78
16 & 7 & 69;37,68
16 & 9 & 56;33,33
16 & 11 & 65;33,33
16 & 12 & 53;35,25
16 & 13 & 69;36,11
16 & 15 & 53;33,72
16 & 27 & 53;36,76
18 & 3 & 20;36,32
18 & 7 & 17;35,05
19 & 10 & 53;33,03
21 & 12 & 20;33,01
22 & 4 & 17;36,41
27 & 3 & 35;33,33
27 & 10 & 53;38,1
27 & 15 & 53;33,41
27 & 16 & 53;36,76
27 & 28 & 53;33,85
27 & 30 & 53;34,65
27 & 32 & 53;33,58
27 & 57 & 53;33,64
27 & 59 & 53;33,03
28 & 3 & 20;33,33
28 & 27 & 53;33,85
29 & 10 & 53;33,53
30 & 27 & 53;34,65
32 & 10 & 53;34,15
32 & 27 & 53;33,58
47 & 4 & 17;40,82
47 & 6 & 17;35,67
47 & 7 & 17;33,76
48 & 8 & 17;34,03
50 & 3 & 20;33,82
50 & 4 & 17;37,07
51 & 4 & 17;36,09
52 & 7 & 17;35,51
56 & 3 & 20;34,8
57 & 2 & 17;33,52
57 & 27 & 53;33,64
59 & 27 & 53;33,03
67 & 4 & 33;33,33
67 & 9 & 71;33,1
69 & 3 & 35;34,13
