nr zaleznosci;procent
2 & 17;25,59
4 & 17;26,03
8 & 17;26,01
10 & 53;27,59
11 & 53;25,6
12 & 53;26,47
14 & 53;26,36
15 & 53;25,32
16 & 53;27,02
17 & 53;25,08
20 & 17;25,07
27 & 53;28,44
28 & 53;25,36
29 & 53;25,94
30 & 53;25,89
31 & 53;26,27
32 & 53;25,91
45 & 53;26,49
47 & 17;26,88
54 & 53;26,39
55 & 53;26,47
56 & 53;25,81
57 & 53;26,5
58 & 53;25,62
59 & 53;26,18
60 & 53;25,73
