nr zaleznosci;procent
2 & 17;25,56
3 & 20;25,3
4 & 17;27,75
10 & 53;27,13
11 & 53;26,31
12 & 53;25,86
13 & 53;27,25
14 & 53;25,91
15 & 53;25,33
16 & 53;25,81
24 & 17;25,11
27 & 53;27,02
28 & 53;26,03
29 & 53;25,67
30 & 53;25,75
31 & 53;26,12
32 & 53;25,63
45 & 53;26,52
47 & 17;26,92
48 & 17;25,55
50 & 20;25,23
54 & 53;26,59
55 & 53;25,59
56 & 53;26,26
57 & 53;26,2
58 & 53;25,55
59 & 53;25,55
60 & 53;26,26
