nr, zaleznosci;procent
1 & 3 & 21;38
1 & 3 & 61;34
1 & 6 & 17;33,68
1 & 7 & 17;35,44
1 & 12 & 33;35,96
1 & 14 & 41;34,62
1 & 16 & 69;35
2 & 13 & 17;34,25
3 & 1 & 21;38
3 & 1 & 61;34
3 & 4 & 40;37,93
3 & 5 & 42;33,87
3 & 7 & 36;35,71
3 & 8 & 21;36,73
3 & 8 & 52;40,82
3 & 11 & 66;33,33
3 & 13 & 35;35,14
3 & 14 & 40;34,69
3 & 14 & 64;42,86
3 & 16 & 35;37,74
4 & 3 & 40;37,93
4 & 7 & 52;35,71
4 & 8 & 17;35,51
4 & 9 & 57;37,7
4 & 11 & 61;33,78
4 & 14 & 28;34,29
4 & 49 & 17;33,7
4 & 50 & 17;34,39
5 & 3 & 42;33,87
5 & 7 & 17;36,71
6 & 1 & 17;33,68
6 & 7 & 48;33,33
6 & 7 & 70;36,23
6 & 8 & 70;34,33
6 & 9 & 69;38,78
6 & 10 & 53;36,29
6 & 13 & 69;33,33
7 & 1 & 17;35,44
7 & 3 & 36;35,71
7 & 4 & 52;35,71
7 & 5 & 17;36,71
7 & 6 & 48;33,33
7 & 6 & 70;36,23
7 & 10 & 53;36,84
7 & 11 & 29;35,09
7 & 11 & 38;38,6
7 & 11 & 70;33,33
7 & 16 & 57;33,33
7 & 47 & 17;34,81
8 & 3 & 21;36,73
8 & 3 & 52;40,82
8 & 4 & 17;35,51
8 & 6 & 70;34,33
8 & 11 & 21;34,78
8 & 11 & 38;36,96
8 & 11 & 45;34,78
8 & 12 & 35;35,04
8 & 15 & 39;36,08
9 & 4 & 57;37,7
9 & 6 & 69;38,78
9 & 10 & 35;38,3
9 & 10 & 70;40,43
9 & 11 & 46;35,9
9 & 12 & 25;33,8
9 & 12 & 57;33,8
9 & 14 & 21;37,74
9 & 14 & 56;41,51
9 & 14 & 64;35,85
9 & 15 & 56;35,21
9 & 16 & 25;33,73
10 & 6 & 53;36,29
10 & 7 & 53;36,84
10 & 9 & 35;38,3
10 & 9 & 70;40,43
10 & 11 & 70;33,33
10 & 13 & 65;33,73
10 & 14 & 53;39,64
10 & 27 & 53;35,91
10 & 29 & 53;33,4
10 & 32 & 53;34,92
11 & 3 & 66;33,33
11 & 4 & 61;33,78
11 & 7 & 29;35,09
11 & 7 & 38;38,6
11 & 7 & 70;33,33
11 & 8 & 21;34,78
11 & 8 & 38;36,96
11 & 8 & 45;34,78
11 & 9 & 46;35,9
11 & 10 & 70;33,33
11 & 12 & 34;36,23
11 & 13 & 42;36,21
11 & 14 & 53;33,68
11 & 15 & 53;38,46
11 & 16 & 37;35,94
12 & 1 & 33;35,96
12 & 8 & 35;35,04
12 & 9 & 25;33,8
12 & 9 & 57;33,8
12 & 11 & 34;36,23
12 & 14 & 32;33,33
12 & 49 & 17;33,24
13 & 2 & 17;34,25
13 & 3 & 35;35,14
13 & 6 & 69;33,33
13 & 10 & 65;33,73
13 & 11 & 42;36,21
13 & 14 & 53;33,9
13 & 15 & 44;34,48
13 & 27 & 53;33,72
13 & 30 & 53;33,85
14 & 1 & 41;34,62
14 & 3 & 40;34,69
14 & 3 & 64;42,86
14 & 4 & 28;34,29
14 & 9 & 21;37,74
14 & 9 & 56;41,51
14 & 9 & 64;35,85
14 & 10 & 53;39,64
14 & 11 & 53;33,68
14 & 12 & 32;33,33
14 & 13 & 53;33,9
14 & 15 & 56;36,05
14 & 27 & 53;34,6
14 & 30 & 53;33,09
14 & 32 & 56;34,89
15 & 8 & 39;36,08
15 & 9 & 56;35,21
15 & 11 & 53;38,46
15 & 13 & 44;34,48
15 & 14 & 56;36,05
15 & 27 & 53;33,75
16 & 1 & 69;35
16 & 3 & 35;37,74
16 & 7 & 57;33,33
16 & 9 & 25;33,73
16 & 11 & 37;35,94
16 & 27 & 53;35,43
16 & 28 & 53;33,64
27 & 10 & 53;35,91
27 & 13 & 53;33,72
27 & 14 & 53;34,6
27 & 15 & 53;33,75
27 & 16 & 53;35,43
27 & 28 & 53;33
27 & 29 & 53;33,84
27 & 31 & 53;34,8
27 & 32 & 53;34,8
27 & 57 & 53;33,78
27 & 59 & 53;34,25
28 & 16 & 53;33,64
28 & 27 & 53;33
29 & 10 & 53;33,4
29 & 27 & 53;33,84
30 & 13 & 53;33,85
30 & 14 & 53;33,09
31 & 27 & 53;34,8
32 & 10 & 53;34,92
32 & 14 & 56;34,89
32 & 27 & 53;34,8
47 & 7 & 17;34,81
49 & 4 & 17;33,7
49 & 12 & 17;33,24
50 & 4 & 17;34,39
57 & 27 & 53;33,78
59 & 27 & 53;34,25
