nr, zaleznosci;procent
1 & 2 & 17;35,16
1 & 3 & 49;34,04
1 & 4 & 41;33,33
1 & 10 & 17;34,02
2 & 1 & 17;35,16
2 & 3 & 68;34,43
2 & 5 & 17;35,4
2 & 5 & 39;33,63
2 & 5 & 63;38,05
2 & 9 & 56;33,33
2 & 13 & 28;36,62
2 & 14 & 53;46,43
2 & 14 & 56;33,33
2 & 15 & 36;34,09
2 & 15 & 53;36,36
2 & 16 & 39;33,01
2 & 31 & 53;33,05
2 & 58 & 53;33,12
3 & 1 & 49;34,04
3 & 2 & 68;34,43
3 & 4 & 40;37,5
3 & 5 & 20;37,31
3 & 5 & 54;35,82
3 & 7 & 24;34,78
3 & 7 & 70;36,96
3 & 8 & 21;37,14
3 & 8 & 36;37,14
3 & 8 & 70;37,14
3 & 12 & 35;35,59
3 & 12 & 36;33,9
3 & 13 & 28;42
3 & 13 & 53;36
3 & 14 & 20;36,36
3 & 14 & 51;34,09
3 & 16 & 54;38,1
3 & 50 & 20;36,54
4 & 1 & 41;33,33
4 & 3 & 40;37,5
4 & 11 & 28;33,8
4 & 14 & 28;33,75
4 & 47 & 17;35,4
5 & 2 & 17;35,4
5 & 2 & 39;33,63
5 & 2 & 63;38,05
5 & 3 & 20;37,31
5 & 3 & 54;35,82
5 & 7 & 52;36
5 & 7 & 67;40
5 & 11 & 57;33,8
5 & 11 & 72;33,8
5 & 13 & 17;34,55
5 & 14 & 36;34,07
5 & 47 & 17;33,85
6 & 7 & 17;39,73
6 & 9 & 18;33,33
6 & 10 & 53;34,43
7 & 3 & 24;34,78
7 & 3 & 70;36,96
7 & 5 & 52;36
7 & 5 & 67;40
7 & 6 & 17;39,73
7 & 9 & 69;37,21
7 & 10 & 66;35,14
7 & 10 & 70;40,54
7 & 11 & 42;47,62
7 & 11 & 52;35,71
7 & 12 & 34;33,33
7 & 13 & 41;35,06
7 & 14 & 57;34,92
7 & 14 & 67;34,92
8 & 3 & 21;37,14
8 & 3 & 36;37,14
8 & 3 & 70;37,14
8 & 11 & 18;37,5
8 & 11 & 70;35
9 & 2 & 56;33,33
9 & 6 & 18;33,33
9 & 7 & 69;37,21
9 & 10 & 25;37,5
9 & 10 & 31;35
9 & 11 & 72;34,38
9 & 16 & 56;37,35
10 & 1 & 17;34,02
10 & 6 & 53;34,43
10 & 7 & 66;35,14
10 & 7 & 70;40,54
10 & 9 & 25;37,5
10 & 9 & 31;35
10 & 13 & 53;34,74
10 & 13 & 65;36,84
10 & 27 & 53;34,13
10 & 54 & 53;33,57
10 & 59 & 53;35,28
10 & 60 & 53;33,46
11 & 4 & 28;33,8
11 & 5 & 57;33,8
11 & 5 & 72;33,8
11 & 7 & 42;47,62
11 & 7 & 52;35,71
11 & 8 & 18;37,5
11 & 8 & 70;35
11 & 9 & 72;34,38
11 & 13 & 65;35,94
11 & 14 & 53;35,71
11 & 16 & 72;34,78
11 & 31 & 53;33,33
12 & 3 & 35;35,59
12 & 3 & 36;33,9
12 & 7 & 34;33,33
12 & 15 & 36;34,29
13 & 2 & 28;36,62
13 & 3 & 28;42
13 & 3 & 53;36
13 & 5 & 17;34,55
13 & 7 & 41;35,06
13 & 10 & 53;34,74
13 & 10 & 65;36,84
13 & 11 & 65;35,94
13 & 14 & 32;37,5
13 & 14 & 53;33,93
13 & 16 & 65;36,59
14 & 2 & 53;46,43
14 & 2 & 56;33,33
14 & 3 & 20;36,36
14 & 3 & 51;34,09
14 & 4 & 28;33,75
14 & 5 & 36;34,07
14 & 7 & 57;34,92
14 & 7 & 67;34,92
14 & 11 & 53;35,71
14 & 13 & 32;37,5
14 & 13 & 53;33,93
14 & 15 & 36;34,29
14 & 15 & 56;34,29
14 & 50 & 39;33,15
15 & 2 & 36;34,09
15 & 2 & 53;36,36
15 & 12 & 36;34,29
15 & 14 & 36;34,29
15 & 14 & 56;34,29
15 & 27 & 53;34,83
16 & 2 & 39;33,01
16 & 3 & 54;38,1
16 & 9 & 56;37,35
16 & 11 & 72;34,78
16 & 13 & 65;36,59
16 & 27 & 53;33,33
27 & 10 & 53;34,13
27 & 15 & 53;34,83
27 & 16 & 53;33,33
27 & 30 & 53;33,17
27 & 58 & 53;33,59
30 & 27 & 53;33,17
31 & 2 & 53;33,05
31 & 11 & 53;33,33
47 & 4 & 17;35,4
47 & 5 & 17;33,85
50 & 3 & 20;36,54
50 & 14 & 39;33,15
54 & 10 & 53;33,57
58 & 2 & 53;33,12
58 & 27 & 53;33,59
59 & 10 & 53;35,28
60 & 10 & 53;33,46
