nr, zaleznosci;procent
1 & 3 & 65;43,14
1 & 7 & 48;34,57
1 & 10 & 33;36,56
1 & 13 & 25;36,49
1 & 13 & 65;39,19
1 & 14 & 48;35,29
2 & 12 & 17;33,14
2 & 13 & 53;41,94
2 & 15 & 56;33,93
3 & 1 & 65;43,14
3 & 4 & 61;35,14
3 & 5 & 35;40
3 & 6 & 20;37,5
3 & 8 & 20;42,37
3 & 8 & 35;33,9
3 & 10 & 20;33,33
3 & 10 & 48;34,85
3 & 11 & 65;35
3 & 12 & 42;34,43
3 & 12 & 54;36,07
3 & 13 & 20;39,53
3 & 14 & 23;36,36
3 & 14 & 65;34,09
3 & 16 & 49;37,14
3 & 16 & 51;34,29
3 & 50 & 20;36,82
3 & 55 & 35;35,19
3 & 69 & 35;37,98
4 & 3 & 61;35,14
4 & 8 & 17;35
4 & 9 & 34;36,21
4 & 13 & 24;35,42
4 & 13 & 28;33,33
4 & 13 & 41;33,33
4 & 13 & 65;37,5
4 & 16 & 17;33,62
4 & 30 & 41;33,01
4 & 47 & 17;34,29
5 & 3 & 35;40
5 & 14 & 17;36,47
6 & 3 & 20;37,5
6 & 7 & 24;36,21
6 & 7 & 48;41,38
6 & 8 & 17;35,14
6 & 8 & 48;33,78
6 & 9 & 69;34,88
6 & 13 & 59;43,33
6 & 13 & 60;33,33
6 & 15 & 56;36
6 & 16 & 53;33,96
6 & 32 & 53;34,03
7 & 1 & 48;34,57
7 & 6 & 24;36,21
7 & 6 & 48;41,38
7 & 8 & 48;41,82
7 & 9 & 18;34,69
7 & 10 & 53;33,33
7 & 11 & 42;33,33
7 & 12 & 17;36,92
8 & 3 & 20;42,37
8 & 3 & 35;33,9
8 & 4 & 17;35
8 & 6 & 17;35,14
8 & 6 & 48;33,78
8 & 7 & 48;41,82
8 & 10 & 35;33,33
8 & 11 & 53;34,21
8 & 11 & 60;36,84
8 & 12 & 17;35,71
8 & 13 & 67;35,29
9 & 4 & 34;36,21
9 & 6 & 69;34,88
9 & 7 & 18;34,69
9 & 10 & 32;33,33
9 & 11 & 43;33,33
9 & 11 & 70;33,33
9 & 12 & 57;33,72
9 & 15 & 56;39,06
10 & 1 & 33;36,56
10 & 3 & 20;33,33
10 & 3 & 48;34,85
10 & 7 & 53;33,33
10 & 8 & 35;33,33
10 & 9 & 32;33,33
10 & 11 & 53;38,89
10 & 16 & 53;37,17
10 & 27 & 53;39,7
10 & 30 & 53;37,05
10 & 54 & 53;35,96
11 & 3 & 65;35
11 & 7 & 42;33,33
11 & 8 & 53;34,21
11 & 8 & 60;36,84
11 & 9 & 43;33,33
11 & 9 & 70;33,33
11 & 10 & 53;38,89
11 & 12 & 53;38,75
11 & 12 & 57;33,75
11 & 14 & 28;33,7
11 & 16 & 37;33,33
11 & 16 & 42;34,78
11 & 58 & 53;35,1
11 & 60 & 53;33,4
12 & 2 & 17;33,14
12 & 3 & 42;34,43
12 & 3 & 54;36,07
12 & 7 & 17;36,92
12 & 8 & 17;35,71
12 & 9 & 57;33,72
12 & 11 & 53;38,75
12 & 11 & 57;33,75
12 & 15 & 72;33,59
12 & 60 & 53;34,01
13 & 1 & 25;36,49
13 & 1 & 65;39,19
13 & 2 & 53;41,94
13 & 3 & 20;39,53
13 & 4 & 24;35,42
13 & 4 & 28;33,33
13 & 4 & 41;33,33
13 & 4 & 65;37,5
13 & 6 & 59;43,33
13 & 6 & 60;33,33
13 & 8 & 67;35,29
13 & 14 & 38;33,33
13 & 14 & 53;35,19
13 & 27 & 53;33,98
14 & 1 & 48;35,29
14 & 3 & 23;36,36
14 & 3 & 65;34,09
14 & 5 & 17;36,47
14 & 11 & 28;33,7
14 & 13 & 38;33,33
14 & 13 & 53;35,19
14 & 16 & 17;34,85
14 & 16 & 39;37,88
14 & 16 & 67;33,33
14 & 27 & 53;36,13
15 & 2 & 56;33,93
15 & 6 & 56;36
15 & 9 & 56;39,06
15 & 12 & 72;33,59
15 & 27 & 53;33,17
16 & 3 & 49;37,14
16 & 3 & 51;34,29
16 & 4 & 17;33,62
16 & 6 & 53;33,96
16 & 10 & 53;37,17
16 & 11 & 37;33,33
16 & 11 & 42;34,78
16 & 14 & 17;34,85
16 & 14 & 39;37,88
16 & 14 & 67;33,33
16 & 27 & 53;37,2
16 & 56 & 53;33,28
16 & 57 & 53;33,16
16 & 60 & 53;34,07
27 & 10 & 53;39,7
27 & 13 & 53;33,98
27 & 14 & 53;36,13
27 & 15 & 53;33,17
27 & 16 & 53;37,2
27 & 30 & 53;34,3
27 & 57 & 53;33,04
27 & 59 & 53;33,32
27 & 60 & 53;33,66
30 & 4 & 41;33,01
30 & 10 & 53;37,05
30 & 27 & 53;34,3
32 & 6 & 53;34,03
47 & 4 & 17;34,29
50 & 3 & 20;36,82
54 & 10 & 53;35,96
55 & 3 & 35;35,19
56 & 16 & 53;33,28
57 & 16 & 53;33,16
57 & 27 & 53;33,04
58 & 11 & 53;35,1
59 & 27 & 53;33,32
60 & 11 & 53;33,4
60 & 12 & 53;34,01
60 & 16 & 53;34,07
60 & 27 & 53;33,66
69 & 3 & 35;37,98
