nr, zaleznosci;procent
1 & 7 & 52;34,41
1 & 14 & 39;34,85
1 & 14 & 41;33,33
1 & 15 & 54;34,69
2 & 4 & 56;33,59
2 & 5 & 63;34,69
2 & 8 & 17;34,17
2 & 8 & 63;34,17
2 & 14 & 17;37,38
3 & 5 & 52;35,21
3 & 8 & 20;36,84
3 & 8 & 35;38,6
3 & 11 & 20;38,57
3 & 11 & 45;35,71
3 & 12 & 20;33,96
3 & 13 & 21;33,33
3 & 13 & 38;33,33
3 & 16 & 23;34,78
3 & 22 & 20;34,26
4 & 2 & 56;33,59
4 & 6 & 17;37,04
4 & 6 & 66;33,33
4 & 7 & 34;37,04
4 & 7 & 41;34,57
4 & 9 & 56;33,33
4 & 11 & 53;36,99
4 & 11 & 60;35,62
4 & 13 & 17;34,43
4 & 13 & 53;34,43
4 & 14 & 32;33,33
4 & 47 & 17;33,33
5 & 2 & 63;34,69
5 & 3 & 52;35,21
5 & 6 & 17;37,65
5 & 7 & 29;34,69
5 & 7 & 57;34,69
5 & 11 & 37;37,21
5 & 11 & 45;34,88
5 & 12 & 20;34,15
6 & 4 & 17;37,04
6 & 4 & 66;33,33
6 & 5 & 17;37,65
6 & 7 & 62;34,62
6 & 8 & 17;33,33
6 & 8 & 31;35,8
6 & 9 & 46;34,15
6 & 9 & 59;34,15
6 & 12 & 36;34,41
6 & 13 & 62;39,73
6 & 47 & 17;33,72
7 & 1 & 52;34,41
7 & 4 & 34;37,04
7 & 4 & 41;34,57
7 & 5 & 29;34,69
7 & 5 & 57;34,69
7 & 6 & 62;34,62
7 & 9 & 34;33,33
7 & 10 & 53;33,33
7 & 12 & 62;34,92
7 & 16 & 17;34,85
7 & 16 & 23;36,36
7 & 16 & 41;39,39
7 & 47 & 17;35,48
8 & 2 & 17;34,17
8 & 2 & 63;34,17
8 & 3 & 20;36,84
8 & 3 & 35;38,6
8 & 6 & 17;33,33
8 & 6 & 31;35,8
8 & 9 & 35;34,62
8 & 15 & 17;33,98
8 & 16 & 53;33,07
8 & 27 & 53;35,15
8 & 55 & 35;34,71
8 & 55 & 53;33,88
9 & 4 & 56;33,33
9 & 6 & 46;34,15
9 & 6 & 59;34,15
9 & 7 & 34;33,33
9 & 8 & 35;34,62
9 & 11 & 18;42,42
9 & 11 & 38;33,33
9 & 12 & 71;34,15
9 & 14 & 56;35,85
9 & 15 & 56;35,71
9 & 15 & 67;40
10 & 7 & 53;33,33
10 & 11 & 53;40,3
10 & 12 & 53;33,33
10 & 13 & 53;34,07
10 & 16 & 53;35,87
10 & 19 & 53;34,37
10 & 27 & 53;34,49
10 & 29 & 53;36,15
10 & 30 & 53;33,76
10 & 31 & 53;33,65
10 & 32 & 53;33,52
10 & 49 & 53;34,11
10 & 54 & 53;35,39
10 & 58 & 53;37,81
10 & 59 & 53;33,89
10 & 60 & 53;35,52
11 & 3 & 20;38,57
11 & 3 & 45;35,71
11 & 4 & 53;36,99
11 & 4 & 60;35,62
11 & 5 & 37;37,21
11 & 5 & 45;34,88
11 & 9 & 18;42,42
11 & 9 & 38;33,33
11 & 10 & 53;40,3
11 & 56 & 53;33,86
11 & 58 & 53;33,22
12 & 3 & 20;33,96
12 & 5 & 20;34,15
12 & 6 & 36;34,41
12 & 7 & 62;34,92
12 & 9 & 71;34,15
12 & 10 & 53;33,33
12 & 15 & 53;33,05
12 & 30 & 53;33,96
13 & 3 & 21;33,33
13 & 3 & 38;33,33
13 & 4 & 17;34,43
13 & 4 & 53;34,43
13 & 6 & 62;39,73
13 & 10 & 53;34,07
13 & 14 & 68;38,46
13 & 15 & 53;36,92
13 & 15 & 60;33,85
13 & 15 & 65;35,38
13 & 16 & 28;35,06
13 & 16 & 53;38,96
