nr, zaleznosci;procent
1 & 3 & 20;40
1 & 3 & 21;34
2 & 4 & 17;34,19
2 & 6 & 53;35,46
3 & 1 & 20;40
3 & 1 & 21;34
3 & 4 & 35;34,09
3 & 4 & 41;34,09
3 & 4 & 43;36,36
3 & 4 & 52;45,45
3 & 6 & 20;38,46
3 & 7 & 48;36
3 & 7 & 52;34
3 & 8 & 20;36,73
3 & 11 & 52;34,48
3 & 12 & 35;43,4
3 & 13 & 41;33,33
3 & 13 & 69;37,78
3 & 15 & 53;33,75
3 & 16 & 20;36,07
3 & 18 & 20;33
3 & 23 & 20;33
3 & 50 & 20;38,3
4 & 2 & 17;34,19
4 & 3 & 35;34,09
4 & 3 & 41;34,09
4 & 3 & 43;36,36
4 & 3 & 52;45,45
4 & 6 & 17;35,05
4 & 8 & 67;33,62
4 & 9 & 56;35,71
4 & 11 & 38;42,42
4 & 12 & 33;35,71
4 & 13 & 53;37,25
4 & 13 & 61;37,25
4 & 13 & 65;33,33
4 & 14 & 24;34,78
4 & 47 & 17;36,88
6 & 2 & 53;35,46
6 & 3 & 20;38,46
6 & 4 & 17;35,05
6 & 8 & 17;37,31
6 & 8 & 20;35,82
6 & 14 & 53;35,11
6 & 47 & 17;36,83
7 & 3 & 48;36
7 & 3 & 52;34
7 & 8 & 33;34,88
7 & 9 & 23;34,29
7 & 10 & 23;36,36
7 & 10 & 48;40,91
7 & 12 & 57;37,5
7 & 13 & 17;33,85
7 & 16 & 23;33,33
7 & 16 & 35;39,58
7 & 16 & 53;33,33
8 & 3 & 20;36,73
8 & 4 & 67;33,62
8 & 6 & 17;37,31
8 & 6 & 20;35,82
8 & 7 & 33;34,88
8 & 9 & 35;33,33
8 & 9 & 39;33,33
8 & 9 & 56;36,36
8 & 10 & 35;36,07
8 & 10 & 53;36,07
8 & 10 & 70;37,7
8 & 11 & 17;37,78
8 & 11 & 70;33,33
9 & 4 & 56;35,71
9 & 7 & 23;34,29
9 & 8 & 35;33,33
9 & 8 & 39;33,33
9 & 8 & 56;36,36
9 & 10 & 59;40,48
9 & 10 & 60;33,33
9 & 11 & 43;34,38
9 & 13 & 60;35,59
9 & 14 & 56;38,18
9 & 15 & 31;38,89
9 & 15 & 71;34,72
9 & 45 & 25;33,16
9 & 57 & 56;33,82
10 & 7 & 23;36,36
10 & 7 & 48;40,91
10 & 8 & 35;36,07
10 & 8 & 53;36,07
10 & 8 & 70;37,7
10 & 9 & 59;40,48
10 & 9 & 60;33,33
10 & 13 & 53;41,38
10 & 13 & 65;35,63
10 & 14 & 53;36,04
10 & 27 & 53;35,24
10 & 31 & 53;33,52
10 & 32 & 53;36,43
10 & 45 & 53;34,47
10 & 54 & 53;35,02
10 & 58 & 53;34,13
11 & 3 & 52;34,48
11 & 4 & 38;42,42
11 & 8 & 17;37,78
11 & 8 & 70;33,33
11 & 9 & 43;34,38
11 & 13 & 37;34,78
11 & 16 & 20;34,48
12 & 3 & 35;43,4
12 & 4 & 33;35,71
12 & 7 & 57;37,5
12 & 15 & 53;37,5
13 & 3 & 41;33,33
13 & 3 & 69;37,78
13 & 4 & 53;37,25
13 & 4 & 61;37,25
13 & 4 & 65;33,33
13 & 7 & 17;33,85
13 & 9 & 60;35,59
13 & 10 & 53;41,38
13 & 10 & 65;35,63
13 & 11 & 37;34,78
13 & 14 & 44;33,93
13 & 16 & 69;37,21
14 & 4 & 24;34,78
14 & 6 & 53;35,11
14 & 9 & 56;38,18
14 & 10 & 53;36,04
14 & 13 & 44;33,93
14 & 16 & 67;37,31
15 & 3 & 53;33,75
15 & 9 & 31;38,89
15 & 9 & 71;34,72
15 & 12 & 53;37,5
15 & 27 & 53;33,03
16 & 3 & 20;36,07
16 & 7 & 23;33,33
16 & 7 & 35;39,58
16 & 7 & 53;33,33
16 & 11 & 20;34,48
16 & 13 & 69;37,21
16 & 14 & 67;37,31
18 & 3 & 20;33
23 & 3 & 20;33
27 & 10 & 53;35,24
27 & 15 & 53;33,03
27 & 30 & 53;33,1
30 & 27 & 53;33,1
31 & 10 & 53;33,52
32 & 10 & 53;36,43
45 & 9 & 25;33,16
45 & 10 & 53;34,47
47 & 4 & 17;36,88
47 & 6 & 17;36,83
50 & 3 & 20;38,3
54 & 10 & 53;35,02
57 & 9 & 56;33,82
58 & 10 & 53;34,13
