nr zaleznosci;procent
2 & 53;25,09
3 & 20;25,76
4 & 17;26,45
6 & 17;25,97
10 & 53;28,43
12 & 53;25,01
13 & 53;25,23
14 & 53;25,18
20 & 17;25,07
27 & 53;27,45
28 & 53;25,74
29 & 53;25,53
30 & 53;26,01
31 & 53;25,89
32 & 53;26,04
45 & 53;26,01
47 & 17;26,65
48 & 17;25,35
51 & 17;25,13
54 & 53;26,03
55 & 53;25,4
56 & 53;25,67
57 & 53;25,21
58 & 53;25,67
59 & 53;25,42
60 & 53;25,82
