nr, zaleznosci;procent
1 & 4 & 17;37,23
1 & 4 & 33;35,11
1 & 7 & 23;35,16
1 & 16 & 67;33,33
1 & 16 & 69;33,33
2 & 4 & 17;35,4
2 & 5 & 17;33,85
2 & 8 & 17;35,9
2 & 9 & 56;37,31
2 & 9 & 63;34,33
2 & 11 & 53;33,06
2 & 15 & 36;39,74
2 & 15 & 56;34,62
2 & 19 & 36;34,73
3 & 4 & 41;36,96
3 & 6 & 24;34,18
3 & 8 & 20;35,71
3 & 11 & 39;33,33
3 & 13 & 54;35,29
3 & 13 & 68;38,24
3 & 14 & 28;35,42
3 & 14 & 53;33,33
3 & 14 & 54;35,42
3 & 50 & 20;35,38
3 & 69 & 35;39,59
4 & 1 & 17;37,23
4 & 1 & 33;35,11
4 & 2 & 17;35,4
4 & 3 & 41;36,96
4 & 7 & 17;40,58
4 & 7 & 61;33,33
4 & 8 & 17;40,37
4 & 14 & 17;37,5
4 & 14 & 41;35,71
4 & 24 & 17;33,33
4 & 47 & 17;34,75
4 & 51 & 17;35,99
4 & 53 & 17;35,56
4 & 55 & 17;33,73
5 & 2 & 17;33,85
5 & 6 & 39;33,33
5 & 6 & 58;35,19
5 & 7 & 19;35,71
5 & 7 & 23;33,93
5 & 7 & 67;35,71
5 & 8 & 35;38,24
5 & 11 & 63;37,1
6 & 3 & 24;34,18
6 & 5 & 39;33,33
6 & 5 & 58;35,19
6 & 9 & 56;34,43
6 & 11 & 17;33,33
7 & 1 & 23;35,16
7 & 4 & 17;40,58
7 & 4 & 61;33,33
7 & 5 & 19;35,71
7 & 5 & 23;33,93
7 & 5 & 67;35,71
7 & 9 & 25;35,29
7 & 9 & 57;35,29
7 & 9 & 62;41,18
7 & 10 & 70;33,96
7 & 11 & 53;34
7 & 13 & 53;37,84
7 & 14 & 53;34,21
7 & 16 & 23;35
7 & 48 & 17;33,25
8 & 2 & 17;35,9
8 & 3 & 20;35,71
8 & 4 & 17;40,37
8 & 5 & 35;38,24
8 & 11 & 20;34,09
8 & 12 & 20;35,42
8 & 12 & 35;34,38
8 & 12 & 39;34,38
8 & 47 & 17;33,15
9 & 2 & 56;37,31
9 & 2 & 63;34,33
9 & 6 & 56;34,43
9 & 7 & 25;35,29
9 & 7 & 57;35,29
9 & 7 & 62;41,18
9 & 10 & 21;33,96
9 & 10 & 25;33,96
9 & 11 & 60;33,33
9 & 11 & 63;36,67
9 & 12 & 25;33,33
9 & 12 & 57;33,33
9 & 13 & 35;36,84
9 & 13 & 60;38,16
9 & 14 & 32;44,44
9 & 15 & 56;36,92
9 & 16 & 60;34,34
9 & 27 & 25;34,62
10 & 7 & 70;33,96
10 & 9 & 21;33,96
10 & 9 & 25;33,96
10 & 12 & 17;35,11
10 & 12 & 53;37,23
10 & 14 & 53;33,91
10 & 56 & 53;34,83
11 & 2 & 53;33,06
11 & 3 & 39;33,33
11 & 5 & 63;37,1
11 & 6 & 17;33,33
11 & 7 & 53;34
11 & 8 & 20;34,09
11 & 9 & 60;33,33
11 & 9 & 63;36,67
11 & 12 & 53;36,99
11 & 13 & 37;35,29
11 & 13 & 53;36,76
11 & 14 & 53;34,74
11 & 16 & 28;33,8
