nr zaleznosci;procent
1 & 17;25,21
3 & 20;25,58
4 & 17;28,04
8 & 17;26,24
8 & 20;25,01
10 & 53;27,46
11 & 53;26,11
13 & 53;25,69
16 & 53;26,25
17 & 53;25,04
19 & 17;25,02
20 & 17;25,39
22 & 17;25,36
27 & 53;28,15
28 & 53;25,21
29 & 53;25,24
30 & 53;25,78
31 & 53;25,32
32 & 53;26,36
45 & 53;26,98
47 & 17;27,14
48 & 17;25,39
51 & 17;25,22
52 & 17;25,04
54 & 53;26,65
55 & 53;25,62
56 & 53;25,93
57 & 53;25,85
58 & 53;25,63
59 & 53;25,54
60 & 53;26,13
