nr, zaleznosci;procent
1 & 3 & 54;33,33
1 & 4 & 69;35,71
1 & 20 & 17;33,08
1 & 63 & 69;33,48
2 & 5 & 45;35,96
2 & 9 & 18;35
2 & 9 & 56;35
2 & 14 & 53;35,45
2 & 15 & 36;37,5
3 & 1 & 54;33,33
3 & 4 & 54;37,14
3 & 4 & 66;37,14
3 & 4 & 67;34,29
3 & 5 & 20;33,33
3 & 5 & 51;35
3 & 5 & 63;33,33
3 & 7 & 36;36,36
3 & 8 & 20;39,53
3 & 8 & 31;37,21
3 & 8 & 35;39,53
3 & 9 & 52;34,69
3 & 12 & 35;34,43
3 & 12 & 57;34,43
3 & 13 & 20;34,78
3 & 13 & 21;39,13
3 & 16 & 37;33,33
3 & 16 & 51;40,74
3 & 16 & 63;35,19
3 & 50 & 20;34,16
3 & 55 & 35;35,86
4 & 1 & 69;35,71
4 & 3 & 54;37,14
4 & 3 & 66;37,14
4 & 3 & 67;34,29
4 & 7 & 17;41,25
4 & 9 & 57;36,92
4 & 11 & 34;34,09
4 & 13 & 28;35,29
4 & 13 & 32;33,33
4 & 13 & 41;33,33
4 & 13 & 65;35,29
4 & 15 & 17;33,03
4 & 16 & 17;33,88
4 & 18 & 17;34,34
4 & 22 & 17;34,64
4 & 47 & 17;34,1
4 & 50 & 17;34,22
4 & 51 & 17;34,51
5 & 2 & 45;35,96
5 & 3 & 20;33,33
5 & 3 & 51;35
5 & 3 & 63;33,33
5 & 6 & 53;35,94
5 & 7 & 36;33,33
5 & 8 & 20;33,02
6 & 5 & 53;35,94
6 & 7 & 24;35,82
6 & 9 & 56;33,33
6 & 11 & 31;33,33
7 & 3 & 36;36,36
7 & 4 & 17;41,25
7 & 5 & 36;33,33
7 & 6 & 24;35,82
7 & 8 & 17;34,69
7 & 8 & 72;38,78
7 & 10 & 29;33,33
7 & 12 & 36;33,33
7 & 13 & 70;39,29
7 & 14 & 51;33,33
7 & 14 & 71;34,67
7 & 47 & 17;33,65
8 & 3 & 20;39,53
8 & 3 & 31;37,21
8 & 3 & 35;39,53
8 & 5 & 20;33,02
8 & 7 & 17;34,69
8 & 7 & 72;38,78
8 & 9 & 31;33,85
8 & 11 & 48;33,33
8 & 12 & 33;37,65
8 & 13 & 17;39,53
8 & 16 & 67;35,25
8 & 47 & 17;35,88
8 & 49 & 17;34,61
8 & 52 & 17;34,71
9 & 2 & 18;35
9 & 2 & 56;35
9 & 3 & 52;34,69
9 & 4 & 57;36,92
9 & 6 & 56;33,33
9 & 8 & 31;33,85
9 & 10 & 60;33,33
9 & 11 & 28;37,93
9 & 11 & 36;34,48
9 & 14 & 34;34,78
9 & 15 & 31;33,33
9 & 30 & 56;33,33
10 & 7 & 29;33,33
10 & 9 & 60;33,33
10 & 11 & 20;34,07
10 & 12 & 53;36,36
10 & 13 & 60;38,2
10 & 27 & 53;34,84
10 & 45 & 53;35,36
10 & 58 & 53;35,57
11 & 4 & 34;34,09
11 & 6 & 31;33,33
11 & 8 & 48;33,33
11 & 9 & 28;37,93
11 & 9 & 36;34,48
11 & 10 & 20;34,07
11 & 13 & 28;34,72
11 & 14 & 28;34,15
11 & 14 & 53;34,15
11 & 58 & 53;35,86
11 & 60 & 53;34,08
12 & 3 & 35;34,43
12 & 3 & 57;34,43
12 & 7 & 36;33,33
12 & 8 & 33;37,65
12 & 10 & 53;36,36
12 & 14 & 53;36,96
12 & 14 & 71;34,78
12 & 30 & 53;33,18
13 & 3 & 20;34,78
13 & 3 & 21;39,13
13 & 4 & 28;35,29
13 & 4 & 32;33,33
13 & 4 & 41;33,33
13 & 4 & 65;35,29
13 & 7 & 70;39,29
13 & 8 & 17;39,53
13 & 10 & 60;38,2
13 & 11 & 28;34,72
13 & 14 & 53;35,59
13 & 16 & 53;37,35
13 & 27 & 53;33,33
13 & 59 & 53;34,17
14 & 2 & 53;35,45
14 & 7 & 51;33,33
14 & 7 & 71;34,67
14 & 9 & 34;34,78
14 & 11 & 28;34,15
14 & 11 & 53;34,15
14 & 12 & 53;36,96
14 & 12 & 71;34,78
14 & 13 & 53;35,59
15 & 2 & 36;37,5
15 & 4 & 17;33,03
15 & 9 & 31;33,33
16 & 3 & 37;33,33
16 & 3 & 51;40,74
16 & 3 & 63;35,19
16 & 4 & 17;33,88
16 & 8 & 67;35,25
16 & 13 & 53;37,35
16 & 27 & 53;34,95
16 & 29 & 53;33,77
16 & 45 & 53;33,81
16 & 60 & 53;33,44
18 & 4 & 17;34,34
20 & 1 & 17;33,08
22 & 4 & 17;34,64
27 & 10 & 53;34,84
27 & 13 & 53;33,33
27 & 16 & 53;34,95
27 & 29 & 53;33,52
27 & 30 & 53;33,25
27 & 31 & 53;33,76
27 & 32 & 53;33,88
27 & 45 & 53;33,37
27 & 55 & 53;34,23
27 & 57 & 53;33,82
29 & 16 & 53;33,77
29 & 27 & 53;33,52
30 & 9 & 56;33,33
30 & 12 & 53;33,18
30 & 27 & 53;33,25
31 & 27 & 53;33,76
32 & 27 & 53;33,88
45 & 10 & 53;35,36
45 & 16 & 53;33,81
45 & 27 & 53;33,37
47 & 4 & 17;34,1
47 & 7 & 17;33,65
47 & 8 & 17;35,88
47 & 49 & 17;33,3
47 & 51 & 17;33,4
49 & 8 & 17;34,61
49 & 47 & 17;33,3
50 & 3 & 20;34,16
50 & 4 & 17;34,22
51 & 4 & 17;34,51
51 & 47 & 17;33,4
52 & 8 & 17;34,71
55 & 3 & 35;35,86
55 & 27 & 53;34,23
57 & 27 & 53;33,82
58 & 10 & 53;35,57
58 & 11 & 53;35,86
59 & 13 & 53;34,17
60 & 11 & 53;34,08
60 & 16 & 53;33,44
63 & 1 & 69;33,48
