nr zaleznosci;procent
3 & 20;25,9
4 & 17;27,87
10 & 53;29,25
11 & 53;26,82
12 & 53;25,65
13 & 53;26,16
15 & 53;25,27
16 & 53;26
24 & 17;25,13
27 & 53;27,78
28 & 53;25,92
29 & 53;25,1
30 & 53;25,84
31 & 53;25,77
32 & 53;25,88
45 & 53;26,66
47 & 17;26,65
48 & 17;25,13
54 & 53;26,25
55 & 53;25,1
56 & 53;26,57
58 & 53;25,5
59 & 53;25,49
60 & 53;26,13
