nr zaleznosci;procent
2 & 17;25,71
3 & 20;26,64
4 & 17;27,82
8 & 20;25,12
10 & 53;27,23
11 & 53;25,78
12 & 53;25,93
13 & 53;25,42
15 & 53;25,11
16 & 53;26,77
17 & 53;25,42
19 & 17;25,29
23 & 17;25,21
27 & 53;28,46
28 & 53;25,68
29 & 53;25,8
30 & 53;26,05
31 & 53;25,69
32 & 53;25,85
45 & 53;26,24
47 & 17;25,9
48 & 17;25,23
54 & 53;26,38
55 & 53;26,1
56 & 53;26,85
57 & 53;25,82
58 & 53;26,17
59 & 53;26,31
60 & 53;26,27
