nr, zaleznosci;procent
1 & 15 & 17;33,33
2 & 6 & 17;34,13
3 & 5 & 57;34,48
3 & 6 & 20;34,12
3 & 8 & 20;33,33
3 & 8 & 35;39,58
3 & 11 & 70;33,8
3 & 13 & 23;35,42
3 & 15 & 20;33,33
3 & 15 & 69;34,57
3 & 50 & 20;35,43
3 & 52 & 20;34,95
3 & 69 & 35;37,8
4 & 11 & 33;34,78
4 & 11 & 41;33,33
4 & 11 & 53;37,68
4 & 11 & 56;33,33
4 & 13 & 45;33,33
4 & 14 & 17;33,33
4 & 16 & 53;35,58
4 & 18 & 17;33,33
4 & 24 & 17;34,92
4 & 47 & 17;36,09
4 & 49 & 17;37,04
4 & 51 & 17;33,33
5 & 3 & 57;34,48
5 & 8 & 67;34,38
5 & 11 & 67;34,55
5 & 14 & 51;34,48
6 & 2 & 17;34,13
6 & 3 & 20;34,12
6 & 8 & 70;33,33
6 & 11 & 17;34,21
6 & 11 & 53;38,16
6 & 13 & 31;33,9
6 & 15 & 43;35,96
7 & 8 & 17;34,38
7 & 9 & 29;34,04
7 & 9 & 63;34,04
7 & 9 & 71;34,04
7 & 10 & 24;33,33
7 & 10 & 53;42,22
7 & 11 & 72;39,29
7 & 14 & 41;34,33
8 & 3 & 20;33,33
8 & 3 & 35;39,58
8 & 5 & 67;34,38
8 & 6 & 70;33,33
8 & 7 & 17;34,38
8 & 9 & 25;35,9
8 & 10 & 67;34,29
8 & 13 & 67;35,63
8 & 15 & 21;33,33
8 & 47 & 17;33,53
9 & 7 & 29;34,04
9 & 7 & 63;34,04
9 & 7 & 71;34,04
9 & 8 & 25;35,9
9 & 10 & 41;39,13
9 & 11 & 56;44,44
9 & 11 & 57;38,89
9 & 11 & 63;36,11
9 & 14 & 41;35,14
9 & 14 & 56;35,14
9 & 15 & 32;34,92
9 & 15 & 56;38,1
10 & 7 & 24;33,33
10 & 7 & 53;42,22
10 & 8 & 67;34,29
10 & 9 & 41;39,13
10 & 11 & 53;33,33
10 & 12 & 20;35,96
10 & 12 & 53;36,84
10 & 13 & 41;35,79
10 & 13 & 53;43,16
10 & 14 & 53;35,79
10 & 16 & 53;36,94
10 & 27 & 53;37,23
10 & 29 & 53;35,14
10 & 30 & 53;38,38
10 & 31 & 53;33,15
10 & 45 & 53;35,31
10 & 54 & 53;34,54
10 & 56 & 53;35,03
10 & 58 & 53;37,15
10 & 59 & 53;34,62
10 & 60 & 53;35,43
10 & 69 & 53;33,66
11 & 3 & 70;33,8
11 & 4 & 33;34,78
11 & 4 & 41;33,33
11 & 4 & 53;37,68
11 & 4 & 56;33,33
11 & 5 & 67;34,55
11 & 6 & 17;34,21
11 & 6 & 53;38,16
11 & 7 & 72;39,29
11 & 9 & 56;44,44
11 & 9 & 57;38,89
11 & 9 & 63;36,11
11 & 10 & 53;33,33
11 & 13 & 42;33,33
11 & 13 & 53;33,33
11 & 16 & 42;38,67
11 & 30 & 53;33,56
11 & 32 & 53;34,35
12 & 10 & 20;35,96
12 & 10 & 53;36,84
12 & 14 & 53;37,84
12 & 16 & 53;34,51
13 & 3 & 23;35,42
13 & 4 & 45;33,33
13 & 6 & 31;33,9
13 & 8 & 67;35,63
13 & 10 & 41;35,79
13 & 10 & 53;43,16
13 & 11 & 42;33,33
13 & 11 & 53;33,33
13 & 14 & 38;37,29
13 & 16 & 60;35,53
14 & 4 & 17;33,33
14 & 5 & 51;34,48
14 & 7 & 41;34,33
14 & 9 & 41;35,14
14 & 9 & 56;35,14
14 & 10 & 53;35,79
14 & 12 & 53;37,84
14 & 13 & 38;37,29
14 & 15 & 56;35,87
14 & 56 & 53;33,82
15 & 1 & 17;33,33
15 & 3 & 20;33,33
15 & 3 & 69;34,57
15 & 6 & 43;35,96
15 & 8 & 21;33,33
15 & 9 & 32;34,92
15 & 9 & 56;38,1
15 & 14 & 56;35,87
15 & 16 & 53;43,48
15 & 27 & 53;33,72
16 & 4 & 53;35,58
16 & 10 & 53;36,94
16 & 11 & 42;38,67
16 & 12 & 53;34,51
16 & 13 & 60;35,53
16 & 15 & 53;43,48
16 & 27 & 53;34,47
16 & 64 & 42;33,84
18 & 4 & 17;33,33
24 & 4 & 17;34,92
27 & 10 & 53;37,23
27 & 15 & 53;33,72
27 & 16 & 53;34,47
27 & 32 & 53;33,95
27 & 57 & 53;33,7
27 & 60 & 53;33,02
29 & 10 & 53;35,14
30 & 10 & 53;38,38
30 & 11 & 53;33,56
31 & 10 & 53;33,15
32 & 11 & 53;34,35
32 & 27 & 53;33,95
45 & 10 & 53;35,31
47 & 4 & 17;36,09
47 & 8 & 17;33,53
49 & 4 & 17;37,04
50 & 3 & 20;35,43
51 & 4 & 17;33,33
52 & 3 & 20;34,95
54 & 10 & 53;34,54
56 & 10 & 53;35,03
56 & 14 & 53;33,82
57 & 27 & 53;33,7
58 & 10 & 53;37,15
59 & 10 & 53;34,62
60 & 10 & 53;35,43
60 & 27 & 53;33,02
64 & 16 & 42;33,84
69 & 3 & 35;37,8
69 & 10 & 53;33,66
