nr, zaleznosci;procent
1 & 10 & 21;35,56
1 & 15 & 21;35,85
2 & 3 & 54;33,93
2 & 8 & 17;35,11
2 & 9 & 25;33,33
3 & 2 & 54;33,93
3 & 4 & 45;33,93
3 & 5 & 45;34,92
3 & 7 & 35;38,98
3 & 8 & 40;34,04
3 & 8 & 66;34,04
3 & 9 & 35;36,07
3 & 9 & 36;34,43
3 & 12 & 20;33,9
3 & 12 & 42;33,9
3 & 12 & 70;35,59
3 & 13 & 49;37,93
3 & 13 & 53;34,48
3 & 16 & 20;34,43
3 & 16 & 37;36,07
3 & 16 & 42;34,43
4 & 3 & 45;33,93
4 & 7 & 17;40,85
4 & 7 & 18;33,8
4 & 7 & 34;33,8
4 & 8 & 41;34,51
4 & 9 & 56;33,72
4 & 13 & 28;36,92
4 & 13 & 70;33,85
4 & 14 & 56;34,25
4 & 23 & 17;34,5
4 & 47 & 17;34,91
4 & 49 & 17;33,87
5 & 3 & 45;34,92
5 & 7 & 17;33,85
5 & 7 & 67;36,92
5 & 11 & 67;33,85
5 & 14 & 51;34,88
5 & 16 & 39;33,01
6 & 10 & 53;36,63
7 & 3 & 35;38,98
7 & 4 & 17;40,85
7 & 4 & 18;33,8
7 & 4 & 34;33,8
7 & 5 & 17;33,85
7 & 5 & 67;36,92
7 & 8 & 18;33,33
7 & 8 & 53;35,19
7 & 8 & 61;35,19
7 & 10 & 29;34,78
7 & 10 & 53;47,83
7 & 11 & 45;34,04
7 & 16 & 23;35,09
7 & 16 & 42;38,6
7 & 16 & 48;35,09
7 & 24 & 17;34,09
8 & 2 & 17;35,11
8 & 3 & 40;34,04
8 & 3 & 66;34,04
8 & 4 & 41;34,51
8 & 7 & 18;33,33
8 & 7 & 53;35,19
8 & 7 & 61;35,19
8 & 9 & 56;35,94
8 & 10 & 21;35,06
8 & 11 & 20;34,21
8 & 11 & 28;34,21
8 & 11 & 70;34,21
8 & 12 & 35;36,36
8 & 13 & 17;34,15
8 & 23 & 20;33,68
9 & 2 & 25;33,33
9 & 3 & 35;36,07
9 & 3 & 36;34,43
9 & 4 & 56;33,72
9 & 8 & 56;35,94
9 & 11 & 33;35,56
9 & 11 & 39;33,33
9 & 11 & 46;37,78
9 & 12 & 32;34,29
9 & 13 & 35;33,33
9 & 14 & 57;34,88
9 & 30 & 56;33,74
9 & 54 & 18;35,11
10 & 1 & 21;35,56
10 & 6 & 53;36,63
10 & 7 & 29;34,78
10 & 7 & 53;47,83
10 & 8 & 21;35,06
10 & 11 & 53;41,82
10 & 14 & 53;35,83
10 & 16 & 53;33,33
10 & 27 & 53;36,21
10 & 29 & 53;33,46
10 & 31 & 53;34,19
10 & 32 & 53;34,54
10 & 54 & 53;35,51
10 & 56 & 20;33,18
10 & 60 & 53;33,82
11 & 5 & 67;33,85
11 & 7 & 45;34,04
11 & 8 & 20;34,21
11 & 8 & 28;34,21
11 & 8 & 70;34,21
11 & 9 & 33;35,56
11 & 9 & 39;33,33
11 & 9 & 46;37,78
11 & 10 & 53;41,82
11 & 14 & 57;36,47
11 & 15 & 32;40,3
11 & 16 & 53;33,85
11 & 32 & 53;33,63
11 & 57 & 53;35,36
11 & 58 & 53;34,62
11 & 60 & 53;33,64
12 & 3 & 20;33,9
12 & 3 & 42;33,9
12 & 3 & 70;35,59
12 & 8 & 35;36,36
12 & 9 & 32;34,29
13 & 3 & 49;37,93
13 & 3 & 53;34,48
13 & 4 & 28;36,92
13 & 4 & 70;33,85
13 & 8 & 17;34,15
13 & 9 & 35;33,33
13 & 14 & 68;36,84
14 & 4 & 56;34,25
14 & 5 & 51;34,88
14 & 9 & 57;34,88
14 & 10 & 53;35,83
14 & 11 & 57;36,47
14 & 13 & 68;36,84
14 & 15 & 32;35
14 & 45 & 53;33,91
15 & 1 & 21;35,85
15 & 11 & 32;40,3
15 & 14 & 32;35
15 & 19 & 36;33,15
15 & 27 & 53;34,26
16 & 3 & 20;34,43
16 & 3 & 37;36,07
16 & 3 & 42;34,43
16 & 5 & 39;33,01
16 & 7 & 23;35,09
16 & 7 & 42;38,6
16 & 7 & 48;35,09
16 & 10 & 53;33,33
16 & 11 & 53;33,85
16 & 27 & 53;34,01
16 & 60 & 53;33,99
19 & 15 & 36;33,15
23 & 4 & 17;34,5
23 & 8 & 20;33,68
24 & 7 & 17;34,09
27 & 10 & 53;36,21
27 & 15 & 53;34,26
27 & 16 & 53;34,01
27 & 28 & 53;33,23
27 & 30 & 53;33,89
27 & 31 & 53;34,61
27 & 32 & 53;33,82
27 & 57 & 53;33,5
27 & 59 & 53;33,73
28 & 27 & 53;33,23
29 & 10 & 53;33,46
30 & 9 & 56;33,74
30 & 27 & 53;33,89
31 & 10 & 53;34,19
31 & 27 & 53;34,61
32 & 10 & 53;34,54
32 & 11 & 53;33,63
32 & 27 & 53;33,82
45 & 14 & 53;33,91
47 & 4 & 17;34,91
49 & 4 & 17;33,87
54 & 9 & 18;35,11
54 & 10 & 53;35,51
56 & 10 & 20;33,18
57 & 11 & 53;35,36
57 & 27 & 53;33,5
58 & 11 & 53;34,62
59 & 27 & 53;33,73
60 & 10 & 53;33,82
60 & 11 & 53;33,64
60 & 16 & 53;33,99
