nr, zaleznosci;procent
1 & 3 & 20;38,81
1 & 3 & 65;37,31
1 & 4 & 17;38,61
1 & 10 & 38;35,23
1 & 13 & 41;34,91
2 & 5 & 17;37,6
2 & 9 & 33;34,85
2 & 11 & 38;36,21
2 & 13 & 53;40,98
2 & 14 & 39;35,11
2 & 14 & 56;40,43
2 & 24 & 17;34,3
2 & 29 & 53;33,33
3 & 1 & 20;38,81
3 & 1 & 65;37,31
3 & 4 & 23;35,14
3 & 7 & 24;34,15
3 & 7 & 45;39,02
3 & 8 & 35;37,5
3 & 8 & 37;33,33
3 & 8 & 60;33,33
3 & 11 & 57;33,9
3 & 12 & 20;36,36
3 & 14 & 48;36
3 & 14 & 57;34
3 & 18 & 20;33,06
3 & 21 & 20;35,59
3 & 41 & 35;33,84
3 & 56 & 20;33,21
4 & 1 & 17;38,61
4 & 3 & 23;35,14
4 & 7 & 17;36,84
4 & 9 & 18;37,31
4 & 11 & 28;36,36
4 & 13 & 37;41,82
4 & 13 & 49;36,36
4 & 13 & 59;36,36
4 & 16 & 53;35,9
4 & 18 & 17;33,86
4 & 49 & 17;35,01
5 & 2 & 17;37,6
5 & 7 & 72;33,33
5 & 8 & 35;34,29
5 & 11 & 45;33,33
5 & 11 & 53;33,33
5 & 14 & 39;34,94
5 & 14 & 53;33,73
5 & 14 & 57;36,14
5 & 16 & 39;34,59
5 & 19 & 17;33,25
6 & 7 & 24;35,29
6 & 7 & 43;33,33
6 & 7 & 53;37,25
6 & 8 & 59;34,83
6 & 12 & 48;34,04
7 & 3 & 24;34,15
7 & 3 & 45;39,02
7 & 4 & 17;36,84
7 & 5 & 72;33,33
7 & 6 & 24;35,29
7 & 6 & 43;33,33
7 & 6 & 53;37,25
7 & 8 & 18;37,31
7 & 9 & 33;33,33
7 & 9 & 38;35,9
7 & 9 & 43;35,9
7 & 10 & 29;35,42
7 & 10 & 70;35,42
7 & 11 & 42;42,22
7 & 16 & 23;45,83
7 & 16 & 41;33,33
7 & 27 & 53;33,21
7 & 46 & 24;34,1
8 & 3 & 35;37,5
8 & 3 & 37;33,33
8 & 3 & 60;33,33
8 & 5 & 35;34,29
8 & 6 & 59;34,83
8 & 7 & 18;37,31
8 & 9 & 34;33,33
8 & 9 & 57;33,33
8 & 10 & 67;36,36
8 & 11 & 33;34,29
8 & 11 & 70;34,29
9 & 2 & 33;34,85
9 & 4 & 18;37,31
9 & 7 & 33;33,33
9 & 7 & 38;35,9
9 & 7 & 43;35,9
9 & 8 & 34;33,33
9 & 8 & 57;33,33
9 & 10 & 61;33,33
9 & 11 & 61;35,48
9 & 15 & 25;33,85
10 & 1 & 38;35,23
10 & 7 & 29;35,42
10 & 7 & 70;35,42
10 & 8 & 67;36,36
10 & 9 & 61;33,33
10 & 13 & 21;33,33
10 & 13 & 60;33,33
10 & 14 & 53;34,58
10 & 27 & 53;34,33
10 & 31 & 53;34,08
10 & 49 & 29;33,44
11 & 2 & 38;36,21
11 & 3 & 57;33,9
11 & 4 & 28;36,36
11 & 5 & 45;33,33
11 & 5 & 53;33,33
11 & 7 & 42;42,22
11 & 8 & 33;34,29
11 & 8 & 70;34,29
11 & 9 & 61;35,48
11 & 12 & 53;37,33
11 & 12 & 63;33,33
11 & 13 & 28;38,18
11 & 13 & 53;38,18
11 & 58 & 53;34,21
11 & 59 & 53;34,42
12 & 3 & 20;36,36
12 & 6 & 48;34,04
12 & 11 & 53;37,33
12 & 11 & 63;33,33
12 & 15 & 25;33
13 & 1 & 41;34,91
13 & 2 & 53;40,98
13 & 4 & 37;41,82
13 & 4 & 49;36,36
13 & 4 & 59;36,36
13 & 10 & 21;33,33
13 & 10 & 60;33,33
13 & 11 & 28;38,18
13 & 11 & 53;38,18
13 & 14 & 44;38
14 & 2 & 39;35,11
14 & 2 & 56;40,43
14 & 3 & 48;36
14 & 3 & 57;34
14 & 5 & 39;34,94
14 & 5 & 53;33,73
14 & 5 & 57;36,14
14 & 10 & 53;34,58
14 & 13 & 44;38
14 & 27 & 53;33,22
15 & 9 & 25;33,85
15 & 12 & 25;33
16 & 4 & 53;35,9
16 & 5 & 39;34,59
16 & 7 & 23;45,83
16 & 7 & 41;33,33
16 & 27 & 53;34,7
17 & 27 & 53;33,17
18 & 3 & 20;33,06
18 & 4 & 17;33,86
19 & 5 & 17;33,25
21 & 3 & 20;35,59
24 & 2 & 17;34,3
27 & 7 & 53;33,21
27 & 10 & 53;34,33
27 & 14 & 53;33,22
27 & 16 & 53;34,7
27 & 17 & 53;33,17
27 & 29 & 53;33,13
27 & 30 & 53;33,25
27 & 59 & 53;34,22
29 & 2 & 53;33,33
29 & 27 & 53;33,13
30 & 27 & 53;33,25
31 & 10 & 53;34,08
41 & 3 & 35;33,84
46 & 7 & 24;34,1
49 & 4 & 17;35,01
49 & 10 & 29;33,44
56 & 3 & 20;33,21
58 & 11 & 53;34,21
59 & 11 & 53;34,42
59 & 27 & 53;34,22
