nr zaleznosci;procent
2 & 17;25,51
3 & 20;25,86
4 & 17;27,22
5 & 17;25,16
8 & 20;25,7
10 & 53;26,79
11 & 53;26,85
12 & 53;25,2
13 & 53;25,42
16 & 53;25,17
17 & 53;25,23
23 & 17;25,26
27 & 53;28,1
28 & 53;25,08
29 & 53;25,34
30 & 53;25,44
31 & 53;25,83
32 & 53;25,38
45 & 53;26,29
47 & 17;26,49
48 & 17;25,12
54 & 53;25,92
55 & 53;25,41
56 & 53;26,29
57 & 53;25,33
58 & 53;25,26
59 & 53;26,25
60 & 53;25,51
