nr, zaleznosci;procent
1 & 2 & 17;37,5
1 & 3 & 51;34,04
1 & 6 & 17;37,08
1 & 7 & 17;33,33
1 & 10 & 38;33,04
1 & 10 & 54;36,61
1 & 13 & 61;34,94
1 & 14 & 23;35,38
1 & 14 & 66;33,85
1 & 15 & 36;34,88
1 & 15 & 69;33,72
2 & 1 & 17;37,5
2 & 3 & 35;33,33
2 & 3 & 37;34,85
2 & 6 & 17;36,29
2 & 9 & 64;33,9
2 & 13 & 28;35,94
2 & 14 & 23;33,66
2 & 14 & 56;33,66
2 & 15 & 36;39,77
2 & 15 & 53;34,09
3 & 1 & 51;34,04
3 & 2 & 35;33,33
3 & 2 & 37;34,85
3 & 4 & 35;37,5
3 & 4 & 61;37,5
3 & 4 & 68;35
3 & 8 & 20;46,55
3 & 8 & 35;34,48
3 & 10 & 54;34,85
3 & 12 & 41;33,33
3 & 14 & 54;39,66
3 & 21 & 20;33,71
4 & 3 & 35;37,5
4 & 3 & 61;37,5
4 & 3 & 68;35
4 & 6 & 17;34,18
4 & 9 & 18;34,29
4 & 9 & 56;37,14
4 & 9 & 57;34,29
4 & 11 & 61;33,82
4 & 12 & 53;33,08
4 & 13 & 41;33,33
4 & 13 & 49;41,67
4 & 14 & 56;36
4 & 18 & 17;34,04
4 & 47 & 17;34,8
5 & 7 & 36;35,71
5 & 7 & 62;33,93
5 & 11 & 63;33,93
5 & 14 & 39;35,96
6 & 1 & 17;37,08
6 & 2 & 17;36,29
6 & 4 & 17;34,18
6 & 7 & 42;40,32
6 & 9 & 18;33,33
6 & 9 & 56;35,09
6 & 11 & 62;37,7
7 & 1 & 17;33,33
7 & 5 & 36;35,71
7 & 5 & 62;33,93
7 & 6 & 42;40,32
7 & 10 & 29;33,33
7 & 11 & 29;36,73
7 & 11 & 70;36,73
7 & 12 & 17;36,36
7 & 12 & 57;34,09
7 & 16 & 17;34,38
7 & 16 & 53;35,94
7 & 47 & 17;34,21
8 & 3 & 20;46,55
8 & 3 & 35;34,48
8 & 9 & 18;36,21
8 & 10 & 35;35,9
8 & 10 & 48;33,33
8 & 10 & 53;38,46
8 & 10 & 59;39,74
8 & 11 & 53;34,55
8 & 13 & 59;39,33
9 & 2 & 64;33,9
9 & 4 & 18;34,29
9 & 4 & 56;37,14
9 & 4 & 57;34,29
9 & 6 & 18;33,33
9 & 6 & 56;35,09
9 & 8 & 18;36,21
9 & 10 & 32;37,21
9 & 11 & 33;34,38
9 & 11 & 38;34,38
9 & 13 & 25;37,68
9 & 16 & 56;34,74
10 & 1 & 38;33,04
10 & 1 & 54;36,61
10 & 3 & 54;34,85
10 & 7 & 29;33,33
10 & 8 & 35;35,9
10 & 8 & 48;33,33
10 & 8 & 53;38,46
10 & 8 & 59;39,74
10 & 9 & 32;37,21
10 & 16 & 53;41,18
10 & 27 & 53;39,57
10 & 29 & 53;34,02
10 & 30 & 53;35,29
10 & 31 & 53;34,08
10 & 59 & 53;34,43
10 & 60 & 53;34,27
11 & 4 & 61;33,82
11 & 5 & 63;33,93
11 & 6 & 62;37,7
11 & 7 & 29;36,73
11 & 7 & 70;36,73
11 & 8 & 53;34,55
11 & 9 & 33;34,38
11 & 9 & 38;34,38
11 & 12 & 53;33,77
11 & 12 & 59;44,16
11 & 13 & 32;33,33
11 & 13 & 37;33,33
11 & 16 & 53;41,57
11 & 56 & 53;33,26
11 & 59 & 53;33,48
12 & 3 & 41;33,33
12 & 4 & 53;33,08
12 & 7 & 17;36,36
12 & 7 & 57;34,09
12 & 11 & 53;33,77
12 & 11 & 59;44,16
12 & 57 & 53;33,11
13 & 1 & 61;34,94
13 & 2 & 28;35,94
13 & 4 & 41;33,33
13 & 4 & 49;41,67
13 & 8 & 59;39,33
13 & 9 & 25;37,68
13 & 11 & 32;33,33
13 & 11 & 37;33,33
13 & 14 & 28;40,38
13 & 15 & 44;33,33
13 & 27 & 53;35,61
14 & 1 & 23;35,38
14 & 1 & 66;33,85
14 & 2 & 23;33,66
14 & 2 & 56;33,66
14 & 3 & 54;39,66
14 & 4 & 56;36
14 & 5 & 39;35,96
14 & 13 & 28;40,38
14 & 15 & 32;34,12
14 & 16 & 53;33,33
15 & 1 & 36;34,88
15 & 1 & 69;33,72
15 & 2 & 36;39,77
15 & 2 & 53;34,09
15 & 13 & 44;33,33
15 & 14 & 32;34,12
15 & 16 & 53;39,51
15 & 59 & 53;33,4
16 & 7 & 17;34,38
16 & 7 & 53;35,94
16 & 9 & 56;34,74
16 & 10 & 53;41,18
16 & 11 & 53;41,57
16 & 14 & 53;33,33
16 & 15 & 53;39,51
16 & 27 & 53;34,73
16 & 60 & 53;33,39
18 & 4 & 17;34,04
21 & 3 & 20;33,71
24 & 47 & 17;33,08
27 & 10 & 53;39,57
27 & 13 & 53;35,61
27 & 16 & 53;34,73
27 & 29 & 53;33,05
27 & 31 & 53;34,21
27 & 32 & 53;33,29
27 & 57 & 53;33,24
27 & 59 & 53;33,16
29 & 10 & 53;34,02
29 & 27 & 53;33,05
30 & 10 & 53;35,29
31 & 10 & 53;34,08
31 & 27 & 53;34,21
32 & 27 & 53;33,29
47 & 4 & 17;34,8
47 & 7 & 17;34,21
47 & 24 & 17;33,08
56 & 11 & 53;33,26
57 & 12 & 53;33,11
57 & 27 & 53;33,24
59 & 10 & 53;34,43
59 & 11 & 53;33,48
59 & 15 & 53;33,4
59 & 27 & 53;33,16
60 & 10 & 53;34,27
60 & 16 & 53;33,39
